source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01135,Braganca,Joseph,0,La Grange,47,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21356,Braganca,,0,La Grange,,,,,,,,,,,37,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00278,Brown,William,0,Alexander City,112,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20189,Brown,W.,0,Alexander City,,,112,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00957,Burk,Ronald,0,La Grange,48,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20334,Burk,,0,La Grange,,,,47,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00771,Burnstine,Leonard,0,Carrollton,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20700,Burnstine,,0,Carrollton,,,,,,,17,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01453,Casey,Charles,0,Valley,15,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21370,Casey,,0,Valley,,,,,,,,,,,10,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01754,Chafin,Robert,0,Griffin,17,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21638,Chafin,,0,Griffin,,,,,,,,,,,,17,
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10575,Chafin,,0,Griffin,,17,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00037,Chapman,Joel,0,Valley,83,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20023,Chapman,,0,Valley,,,24,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20893,Chapman,,0,Valley,,,,,,,58,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00196,Chappell,Marvin,0,Alexander City,89,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20970,Chappell,,0,Alexander City,,,,,,,28,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21614,Chappell,,0,Alexander City,,,,,,,,,,,,51,
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10081,Chappell,,0,Alexander City,,51,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00985,Charles,James,0,La Grange,24,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21879,Charles,,0,La Grange,,,,,,,,,,,,24,
