source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1916Reach,1915,North Carolina State League,,F20046,Mack,,0,Raleigh,,,122,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00335,Maddox,,0,Durham,19,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00174,Manchester,,0,Charlotte,51,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F21182,Manchester,,0,Charlotte,,,,,,,,,,,50,,
minoraverages/1916Reach,1915,North Carolina State League,,B00117,Mason,,0,Charlotte,100,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00442,McBane,,0,Winston-Salem,97,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20560,McBane,,0,Winston-Salem,,,,,,,97,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00695,McConnell,,0,Raleigh,93,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20279,McConnell,,0,Raleigh,,,,,92,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00609,McCord,,0,Raleigh,110,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20144,McCord,,0,Raleigh,,,,111,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00163,McCoy,,0,Asheville,82,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20095,McCoy,,0,Asheville,,,28,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20807,McCoy,,0,Asheville,,,,,,,41,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B01093,McDaniels,,0,Greensboro,18,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F21210,McDaniels,,0,Greensboro,,,,,,,,,,,17,,
minoraverages/1916Reach,1915,North Carolina State League,,B01010,McMillan,,0,Greensboro,24,,,,,,,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,F20784,McMillan,,0,Greensboro,,,,,,,24,,,,,,
minoraverages/1916Reach,1915,North Carolina State League,,B00985,McWhorter,,0,Greensboro,41,,,,,,,,,,,,
