source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1948TSN,1947,Big State League,,F20935,Carnett,,1,Wichita Falls,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20935,Carnett,,2,Paris,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20935,Carnett,,T,,,,,,,,,,33,,,,
minoraverages/1948TSN,1947,Big State League,,F21117,Carnett,,1,Wichita Falls,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21117,Carnett,,2,Paris,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21117,Carnett,,T,,,,,,,,,,,25,,,
minoraverages/1948TSN,1947,Big State League,,B01093,Carroll,Melvin T.,0,Paris,42,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21416,Carroll,,0,Paris,,,,,,,,,,,26,,
minoraverages/1948TSN,1947,Big State League,,B01288,Carruth,Willis F.,0,Waco,16,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F22169,Carruth,,0,Waco,,,,,,,,,,,,12,
minoraverages/1948TSN,1947,Big State League,,P10588,Carruth,,0,Waco,,12,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00092,Carswell,Frank W.,0,Paris,135,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20369,Carswell,,0,Paris,,,,,127,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00163,Carter,Ken. Steve,0,Austin,94,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01617,Carter,Carl M.,0,Paris,29,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20981,Carter,,0,Austin,,,,,,,,,94,,,,
minoraverages/1948TSN,1947,Big State League,,F21936,Carter,,0,Paris,,,,,,,,,,,,27,
minoraverages/1948TSN,1947,Big State League,,P10385,Carter,,0,Paris,,27,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B00854,Chatellier,H. B.,0,Wichita Falls,90,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F20943,Chatellier,,0,Wichita Falls,,,,,,,,,39,,,,
minoraverages/1948TSN,1947,Big State League,,F21319,Chatellier,,0,Wichita Falls,,,,,,,,,,31,,,
minoraverages/1948TSN,1947,Big State League,,B01538,Chew,Ray,1,Waco,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01538,Chew,Ray,2,Greenville,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01538,Chew,Ray,3,Austin,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,B01538,Chew,Ray,T,,78,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21442,Chew,,1,Waco,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21442,Chew,,2,Greenville,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21442,Chew,,3,Austin,,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21442,Chew,,T,,,,,,,,,,,,77,,
minoraverages/1948TSN,1947,Big State League,,B01227,Christie,L. W. (Jake),0,Greenville,45,,,,,,,,,,,,
minoraverages/1948TSN,1947,Big State League,,F21771,Christie,,0,Greenville,,,,,,,,,,,,35,
