league.key,league.year,league.name.full,league.name.short
1916-AL,1916,American League,American
1916-AA,1916,American Association,American Association
1916-BLRI,1916,Blue Ridge League,Blue Ridge
1916-CAWL,1916,California Winter League,California Winter
1916-CENL,1916,Central League,Central
1916-CENA,1916,Central Association,Central Association
1916-CTXL,1916,Central Texas League,Central Texas
1916-CUBL,1916,Cuban League,Cuban
1916-CUWL,1916,Cuban Winter League,Cuban Winter
1916-DIXL,1916,Dixie League,Dixie
1916-ETXL,1916,East Texas League,East Texas
1916-EL,1916,Eastern League,Eastern
1916-GAAL,1916,Georgia-Alabama League,Georgia-Alabama
1916-INDN,1916,Independent Negro,Independent Negro
1916-IIIL,1916,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1916-IL,1916,International League,International
1916-ISLG,1916,Interstate League,Interstate
1916-KITL,1916,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1916-NL,1916,National League,National
1916-NYSL,1916,New York State League,New York State
1916-NCSL,1916,North Carolina State League,North Carolina State
1916-NORL,1916,Northern League,Northern
1916-NWES,1916,Northwestern League,Northwestern
1916-OHSL,1916,Ohio State League,Ohio State
1916-PCL,1916,Pacific Coast League,Pacific Coast
1916-POTL,1916,Potomac League,Potomac
1916-SALL,1916,South Atlantic League,South Atlantic
1916-SOUA,1916,Southern Association,Southern Association
1916-TL,1916,Texas League,Texas
1916-VIRL,1916,Virginia League,Virginia
1916-WL,1916,Western League,Western
1916-WA,1916,Western Association,Western Association
