league.key,league.year,league.name.full,league.name.short
1901-AL,1901,American League,American
1901-CALL,1901,California League,California
1901-COL,1901,Collegiate Teams,Collegiate
1901-CTST,1901,Connecticut State League,Connecticut State
1901-CUBL,1901,Cuban League,Cuban
1901-CUWL,1901,Cuban Winter League,Cuban Winter
1901-EL,1901,Eastern League,Eastern
1901-IIIL,1901,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1901-IMTL,1901,Inter-Mountain League,Inter-Mountain
1901-ISLG,1901,Interstate League,Interstate
1901-MOVL,1901,Missouri Valley League,Missouri Valley
1901-NCLG,1901,North Carolina League,North Carolina
1901-NENL,1901,New England League,New England
1901-NL,1901,National League,National
1901-NNYL,1901,Northern New York League,Northern New York
1901-NYSL,1901,New York State League,New York State
1901-PASL,1901,Pennsylvania State League,Pennsylvania State
1901-PNWL,1901,Pacific Northwest League,Pacific Northwest
1901-SOUA,1901,Southern Association,Southern Association
1901-TXVL,1901,Texas Valley League,Texas Valley
1901-VNCL,1901,Virginia-North Carolina League,Virginia-North Carolina
1901-WA,1901,Western Association,Western Association
1901-WISL,1901,Wisconsin State League,Wisconsin State
1901-WL,1901,Western League,Western
