league.key,league.year,league.name.full,league.name.short
1903-AA,1903,American Association,American Association
1903-AL,1903,American League,American
1903-CASL,1903,California State League,California State
1903-CENL,1903,Central League,Central
1903-COL,1903,Collegiate Teams,Collegiate
1903-CSTL,1903,Cotton States League,Cotton States
1903-CTST,1903,Connecticut League,Connecticut
1903-CUBL,1903,Cuban League,Cuban
1903-CUWL,1903,Cuban Winter League,Cuban Winter
1903-EL,1903,Eastern League,Eastern
1903-HAVL,1903,Havana League,Havana
1903-HUDR,1903,Hudson River League,Hudson River
1903-IASD,1903,Iowa-South Dakota League,Iowa-South Dakota
1903-IEML,1903,Inland Empire League,Inland Empire
1903-IIIL,1903,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1903-ISBL,1903,Interstate Baseball League,Interstate Baseball
1903-ISLG,1903,Interstate League,Interstate
1903-KITL,1903,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1903-MOVL,1903,Missouri Valley League,Missouri Valley
1903-NENL,1903,New England League,New England
1903-NL,1903,National League,National
1903-NNYL,1903,Northern New York League,Northern New York
1903-NORL,1903,Northern League,Northern
1903-NYSL,1903,New York State League,New York State
1903-PCL,1903,Pacific Coast League,Pacific Coast
1903-PENN,1903,Pennsylvania League,Pennsylvania
1903-PNAL,1903,Pacific National League,Pacific National
1903-SOUA,1903,Southern Association,Southern Association
1903-STEX,1903,South Texas League,South Texas
1903-SWIA,1903,Southwest Iowa League,Southwest Iowa
1903-SWWL,1903,Southwest Washington League,Southwest Washington
1903-TL,1903,Texas League,Texas
1903-TNAL,1903,Tennessee-Alabama League,Tennessee-Alabama
1903-TXVL,1903,Texas Valley League,Texas Valley
1903-WIVL,1903,Willamette Valley League,Willamette Valley
1903-WL,1903,Western League,Western
