league.key,league.year,league.name.full,league.name.short
1915-AL,1915,American League,American
1915-AA,1915,American Association,American Association
1915-ATLL,1915,Atlantic League,Atlantic
1915-BIST,1915,Bi-State League,Bi-State
1915-BLRI,1915,Blue Ridge League,Blue Ridge
1915-BUCK,1915,Buckeye League,Buckeye
1915-CASL,1915,California State League,California State
1915-CAWL,1915,California Winter League,California Winter
1915-CANL,1915,Canadian League,Canadian
1915-CENL,1915,Central League,Central
1915-CENA,1915,Central Association,Central Association
1915-CTXL,1915,Central Texas League,Central Texas
1915-COLL,1915,Colonial League,Colonial
1915-CUBL,1915,Cuban League,Cuban
1915-CUWL,1915,Cuban Winter League,Cuban Winter
1915-CNCS,1915,Cuban-American Negro Clubs Series,Cuban-Negro Series
1915-FL,1915,Federal League,Federal
1915-FAGL,1915,Florida-Alabama-Georgia League,Florida-Alabama-Georgia
1915-GAAL,1915,Georgia-Alabama League,Georgia-Alabama
1915-IMPV,1915,Imperial Valley League,Imperial Valley
1915-INDN,1915,Independent Negro,Independent Negro
1915-IIIL,1915,Indiana-Illinois-Iowa League,Indiana-Illinois-Iowa
1915-IL,1915,International League,International
1915-ISLG,1915,Interstate League,Interstate
1915-LASL,1915,Louisiana State League,Louisiana State
1915-MIDT,1915,Middle Texas League,Middle Texas
1915-NL,1915,National League,National
1915-NESL,1915,Nebraska State League,Nebraska State
1915-NENL,1915,New England League,New England
1915-NYSL,1915,New York State League,New York State
1915-NCSL,1915,North Carolina State League,North Carolina State
1915-NORL,1915,Northern League,Northern
1915-NWES,1915,Northwestern League,Northwestern
1915-OHSL,1915,Ohio State League,Ohio State
1915-PCL,1915,Pacific Coast League,Pacific Coast
1915-RGRA,1915,Rio Grande Association,Rio Grande Association
1915-SALL,1915,South Atlantic League,South Atlantic
1915-SOUA,1915,Southern Association,Southern Association
1915-SMIL,1915,Southern Michigan League,Southern Michigan
1915-TL,1915,Texas League,Texas
1915-VIRL,1915,Virginia League,Virginia
1915-WL,1915,Western League,Western
1915-WA,1915,Western Association,Western Association
