league.key,league.year,league.name.full,league.name.short
1910-AA,1910,American Association,American Association
1910-AL,1910,American League,American
1910-BLGR,1910,Blue Grass League,Blue Grass
1910-CARA,1910,Carolina Association,Carolina Association
1910-CASL,1910,California State League,California State
1910-CAWL,1910,California Winter League,California Winter
1910-CCAL,1910,Central California League,Central California
1910-CENA,1910,Central Association,Central Association
1910-CENL,1910,Central League,Central
1910-CHCL,1910,Chicago City League,Chicago City
1910-CKSL,1910,Central Kansas League,Central Kansas
1910-CMLS,1910,Cuban-American Major League Clubs Series,Cuban-Major Series
1910-CNCS,1910,Cuban-American Negro Clubs Series,Cuban-Negro Series
1910-CNYL,1910,Central New York League,Central New York
1910-COL,1910,Collegiate Teams,Collegiate
1910-CSTL,1910,Cotton States League,Cotton States
1910-CTAS,1910,Connecticut Association,Connecticut Association
1910-CTST,1910,Connecticut State League,Connecticut State
1910-CUBL,1910,Cuban League,Cuban
1910-CUGL,1910,Cuban General League,Cuban General
1910-CUWL,1910,Cuban Winter League,Cuban Winter
1910-ECAR,1910,Eastern Carolina League,Eastern Carolina
1910-EKSL,1910,Eastern Kansas League,Eastern Kansas
1910-EL,1910,Eastern League,Eastern
1910-IIIL,1910,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1910-ILIA,1910,Illinois-Iowa League,Illinois-Iowa
1910-ILMO,1910,Illinois-Missouri League,Illinois-Missouri
1910-INMI,1910,Indiana-Michigan League,Indiana-Michigan
1910-KITL,1910,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1910-KSSL,1910,Kansas State League,Kansas State
1910-MICH,1910,Michigan State League,Michigan State
1910-MINK,1910,Missouri-Iowa-Nebraska-Kansas League,Missouri-Iowa-Nebraska-Kansas
1910-MNWI,1910,Minnesota-Wisconsin League,Minnesota-Wisconsin
1910-NEAR,1910,Northeast Arkansas League,Northeast Arkansas
1910-NENL,1910,New England League,New England
1910-NESL,1910,Nebraska State League,Nebraska State
1910-NL,1910,National League,National
1910-NORA,1910,Northern Association,Northern Association
1910-NSIN,1910,Northern State of Indiana League,Northern State of Indiana
1910-NWES,1910,Northwestern League,Northwestern
1910-NYSL,1910,New York State League,New York State
1910-OHPA,1910,Ohio-Pennsylvania League,Ohio-Pennsylvania
1910-OHSL,1910,Ohio State League,Ohio State
1910-PCL,1910,Pacific Coast League,Pacific Coast
1910-SALL,1910,South Atlantic League,South Atlantic
1910-SCTL,1910,Southern California Trolley League,Southern California Trolley
1910-SEAL,1910,Southeastern League,Southeastern
1910-SILL,1910,Southern Illinois League,Southern Illinois
1910-SJVL,1910,San Joaquin Valley League,San Joaquin Valley
1910-SMIL,1910,Southern Michigan League,Southern Michigan
1910-SOUA,1910,Southern Association,Southern Association
1910-SWTX,1910,Southwest Texas League,Southwest Texas
1910-TL,1910,Texas League,Texas
1910-TRIS,1910,Tri-State League,Tri-State
1910-VIRL,1910,Virginia League,Virginia
1910-VVAL,1910,Virginia Valley League,Virginia Valley
1910-WA,1910,Western Association,Western Association
1910-WASL,1910,Washington State League,Washington State
1910-WCAN,1910,Western Canada League,Western Canada
1910-WIIL,1910,Wisconsin-Illinois League,Wisconsin-Illinois
1910-WL,1910,Western League,Western
1910-WMIL,1910,West Michigan League,West Michigan
1910-WVIR,1910,West Virginia League,West Virginia
