league.key,league.year,league.name.full,league.name.short
1908-AA,1908,American Association,American Association
1908-AL,1908,American League,American
1908-ARSL,1908,Arkansas State League,Arkansas State
1908-ATLA,1908,Atlantic Association,Atlantic Association
1908-ATLL,1908,Atlantic League,Atlantic
1908-BLGR,1908,Blue Grass League,Blue Grass
1908-CALL,1908,California League,California
1908-CARA,1908,Carolina Association,Carolina Association
1908-CAWL,1908,California Winter League,California Winter
1908-CENA,1908,Central Association,Central Association
1908-CENL,1908,Central League,Central
1908-CKSL,1908,Central Kansas League,Central Kansas
1908-CMLS,1908,Cuban-American Major League Clubs Series,Cuban-Major Series
1908-CNCS,1908,Cuban-American Negro Clubs Series,Cuban-Negro Series
1908-COL,1908,Collegiate Teams,Collegiate
1908-CSTL,1908,Cotton States League,Cotton States
1908-CTST,1908,Connecticut State League,Connecticut State
1908-CUBL,1908,Cuban League,Cuban
1908-CUGL,1908,Cuban General League,Cuban General
1908-CUWL,1908,Cuban Winter League,Cuban Winter
1908-ECAR,1908,Eastern Carolina League,Eastern Carolina
1908-EILL,1908,Eastern Illinois League,Eastern Illinois
1908-EL,1908,Eastern League,Eastern
1908-GULF,1908,Gulf Coast League,Gulf Coast
1908-HACL,1908,Harrisburg City League,Harrisburg City
1908-IEML,1908,Inland Empire League,Inland Empire
1908-IIIL,1908,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1908-IL,1908,International League,International
1908-ILMO,1908,Illinois-Missouri League,Illinois-Missouri
1908-ISLG,1908,Interstate League,Interstate
1908-LKSL,1908,Lake Shore League,Lake Shore
1908-MESL,1908,Maine State League,Maine State
1908-NENL,1908,New England League,New England
1908-NL,1908,National League,National
1908-NORL,1908,Northern League,Northern
1908-NWES,1908,Northwestern League,Northwestern
1908-NYSL,1908,New York State League,New York State
1908-ODOM,1908,Old Dominion League,Old Dominion
1908-OHIN,1908,Ohio-Indiana League,Ohio-Indiana
1908-OHPA,1908,Ohio-Pennsylvania League,Ohio-Pennsylvania
1908-OHSL,1908,Ohio State League,Ohio State
1908-OKKS,1908,Oklahoma-Kansas League,Oklahoma-Kansas
1908-PCL,1908,Pacific Coast League,Pacific Coast
1908-PWVL,1908,Pennsylvania-West Virginia League,Pennsylvania-West Virginia
1908-SALL,1908,South Atlantic League,South Atlantic
1908-SCAR,1908,South Carolina League,South Carolina
1908-SMIL,1908,Southern Michigan League,Southern Michigan
1908-SOUA,1908,Southern Association,Southern Association
1908-TL,1908,Texas League,Texas
1908-TRIS,1908,Tri-State League,Tri-State
1908-TXVL,1908,Texas Valley League,Texas Valley
1908-UA,1908,Union Association,Union Association
1908-VIRL,1908,Virginia League,Virginia
1908-WA,1908,Western Association,Western Association
1908-WCAN,1908,Western Canada League,Western Canada
1908-WIIL,1908,Wisconsin-Illinois League,Wisconsin-Illinois
1908-WL,1908,Western League,Western
