ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1914-AA:adams,cw:ce924a73,adamk101,adams-001kar,Adams,Karl,Karl Tutwiler,18910811
1914-AA:allen,cw:77b3f2e7,,allen-031---,Allen,,,
1914-AA:allison,cw:75712b56,allim102,alliso001mac,Allison,Mack,Mack Pendleton,18870123
1914-AA:altizer,cw:f0837d14,altid101,altize001dav,Altizer,Dave,David Tilden,18761106
1914-AA:autrey,cw:c667205c,autrc101,autry-001wil,Autry,Chick,William Askew,18850102
1914-AA:bailey,cw:b9ef5264,bailb102,bailey001har,Bailey,Bill,Harry Lewis,18811119
1914-AA:baker,cw:7588b875,,baker-001e--,Baker,E.,E. W.,
1914-AA:barbeau,cw:4763be53,barbj101,barbea001wil,Barbeau,Jap,William Joseph,18820610
1914-AA:baskette,cw:0bf2ed95,baskj101,basket001jam,Baskette,Jim,James Blaine,18871210
1914-AA:bates,cw:ae669dd5,bater101,bates-001ray,Bates,Ray,Raymond,18900208
1914-AA:beall,cw:932d7445,bealj101,beall-001joh,Beall,Johnny,John Woolf,18820312
1914-AA:beck,cw:deae23ed,beckg102,beck--001ern,Beck,George,Ernest George Bernard,18900221
1914-AA:benn,cw:2b8eb9e9,bennh101,benn--001hen,Benn,Henry,Henry Omer,18900125
1914-AA:benson,cw:33b4289e,,benson001elm,Bensen,Elmer,Elmer Martin,18840911
1914-AA:berg,cw:111f39ad,burgp101,burg--001jos,Burg,Joe,Joseph Peter,18820604
1914-AA:billings,cw:f0f9ffb8,billj103,billin003joh,Billings,Josh,John Augustus,18911130
1914-AA:blackburn,cw:b83a97c2,blace101,blackb001ear,Blackburn,Earl,Earl Stuart,18921101
1914-AA:boardman,cw:f2e714cb,boarc101,boardm001cha,Boardman,Charlie,Charles Louis,18930327
1914-AA:boothby,cw:d1c551fc,,boothb001cy-,Boothby,Cy,Orville Richard,18880718
1914-AA:bowman,cw:2e30a0a7,bowma101,bowman001alv,Bowman,Abe,Alvah Edson,18930125
1914-AA:braun,cw:a99c4b31,,braun-001alf,Braun,Buster,Alfred G.,18860423
1914-AA:brenton,cw:162c0f58,brenl101,brento001lyn,Brenton,Lynn,Lynn Davis,18891007
1914-AA:brief,cw:10fc7e57,brieb101,brief-001ant,Brief,Bunny,Anthony Vincent,18920703
1914-AA:bronkie,cw:254b0689,bronh101,bronki001her,Bronkie,Herman,Herman Charles,18850330
1914-AA:buemiller,cw:717699f9,,buemil001alb,Buemiller,Al,Albert,18850812
1914-AA:burch,cw:944cbc0d,burca101,burch-001alb,Burch,Al,Albert William,18831007
1914-AA:burk,cw:49c260c3,burks101,burk--001cha,Burk,Sandy,Charles Sanford,18870422
1914-AA:burns,cw:7c4cd038,burnb101,burns-006wil,Burns,Bill,William Thomas,18800127
1914-AA:calahan,cw:4830991d,calld101,callah002dav,Callahan,Dave,David Joseph,18880720
1914-AA:capron,cw:a7eb5fc0,caprr101,capron001ral,Capron,Ralph,Ralph Earl,18890616
1914-AA:case,cw:e5e502cf,,case--012---,Case,,,
1914-AA:clark,cw:252b2c09,clarp102,clark-004har,Clark,Pep,Harry,18830320
1914-AA:clemons,cw:ff9a0a09,clemv101,clemon001ver,Clemons,Verne,Verne James,18910908
1914-AA:clothier,cw:74f0c76e,,clothi001jac,Clothier,Jack,John A.,
1914-AA:clymer,cw:9c0469c6,clymo101,clymer001oti,Clymer,Otis,Otis Edgar,18760127
1914-AA:cole,cw:5cc44834,colew101,cole--006wil,Cole,Willis,Willis Russell,18820106
1914-AA:collamore,cw:17eab8a9,colla101,collam001all,Collamore,Allan,Allan Edward,18870605
1914-AA:compton,cw:f6ba10e4,compp101,compto001ann,Compton,Pete,Anna Sebastian,18890928
1914-AA:covington,cw:9dd1f387,covit101,coving002wil,Covington,Tex,William Wilkes,18870319
1914-AA:crandall,cw:85d91db4,,cranda002kar,Crandall,Karl,Karl Everett,18890330
1914-AA:cutting,cw:9c53f138,,cuttin001ral,Cutting,Ralph,Ralph Simon,18860706
1914-AA:daley,cw:c49680eb,dalej102,daley-001joh,Daley,John,John Francis,18870525
1914-AA:danforth,cw:9ea2e3b9,danfd101,danfor001dav,Danforth,Dave,David Charles,18900307
1914-AA:davis,cw:abe31881,david102,davis-003fra,Davis,Dixie,Frank Talmadge,18901012
1914-AA:delhi,cw:b435a3b6,delhf101,delhi-001lee,Delhi,Flame,Lee William,18921105
1914-AA:dell,cw:d872f498,,dell--001joh,Dell,John,John,
1914-AA:devogt,cw:7bb685f6,devor101,devogt001rex,DeVogt,Rex,Rex Eugene,18880104
