ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1916-PCL:whaling,cw:f04a0125,whalb101,whalin001alb,Whaling,Bert,Albert James,18880622
1916-PCL:wilie,cw:49c1adcd,wilid101,wilie-001den,Wilie,Denney,Dennis Ernest,18900922
1916-PCL:williams,cw:4a926ed9,willk101,willia007ken,Williams,Ken,Kenneth Roy,18900628
1916-PCL:wolter,cw:c4eab0b8,wolth101,wolter001har,Wolter,Harry,Harry Meiggs,18840711
1916-PCL:wolverton,cw:41cb67cd,wolvh101,wolver001har,Wolverton,Harry,Harry Sterling,18731206
1916-PCL:zabel,cw:7d6359f6,zabez101,zabel-001geo,Zabel,Zip,George Washington,18910218
1916-PCL:zimmerman,cw:ac6bca22,zimmb101,zimmer001wil,Zimmerman,Bill,William Frederick,18870120
1916-SOUA:allen,cw:e78d088a,,allen-001jam,Allen,James,James,
1916-SOUA:allison-mob,cw:75712b56,allim102,alliso001mac,Allison,Mack,Mack Pendleton,18870123
1916-SOUA:allison-no,cw:07e8b8e8,allim101,alliso001mil,Allison,Milo,Milo Henry,18901016
1916-SOUA:andreen,cw:0d8c2915,,andree001mik,Andreen,Mike,Morton Lavine,18900425
1916-SOUA:bacon,cw:6919eccf,bacoe101,bacon-001edg,Bacon,Eddie,Edgar Suter,18950408
1916-SOUA:baker,cw:b37c5cd3,,baker-003how,Baker,Howard,Howard William,18800815
1916-SOUA:barbare,cw:df7e51ff,barbw101,barbar001wal,Barbare,Walter,Walter Lawrence,18910811
1916-SOUA:barger,cw:9a9dda79,bargc101,barger001ero,Barger,Cy,Eros Bolivar,18850518
1916-SOUA:baumgardner,cw:e0b23392,baumg101,baumga001geo,Baumgardner,George,George Washington,18910722
1916-SOUA:bluhm,cw:56b5fd48,bluhr101,bluhm-001har,Bluhm,Red,Harvey Fred,18940627
1916-SOUA:brennan,cw:4afa5984,brena101,brenna001add,Brennan,Ad,Addison Foster,18870718
1916-SOUA:brenton,cw:162c0f58,brenl101,brento001lyn,Brenton,Lynn,Lynn Davis,18891007
1916-SOUA:bridwell,cw:dadd8fda,brida101,bridwe001alb,Bridwell,Al,Albert Henry,18840104
1916-SOUA:bromwich,cw:eed3167e,,bromwi001alb,Bromwich,Albert,Albert A.,18880407
1916-SOUA:brooks,cw:8b71323f,,brooks001b--,Brooks,B.,B. B.,
1916-SOUA:brown,cw:cc9485ca,browb103,brown-002car,Brown,Boardwalk,Carroll William,18890220
1916-SOUA:burke.j,cw:de617228,,burke-001jac,Burke,Jack,Jack Rufus,18780521
1916-SOUA:burke.m,cw:6642071d,,burke-001mik,Burke,Mike,Mike,
1916-SOUA:calhoun,cw:fbcd14a8,calhb101,calhou001wil,Calhoun,Bill,William Davitte,18900623
1916-SOUA:carroll,cw:1197fb8b,,carrol002cha,Carroll,Charlie,Charles Lemuel,18900816
1916-SOUA:caton,cw:cc673fae,catoh101,caton-001jam,Caton,Howdy,James Howard,18940716
1916-SOUA:cavet,cw:24970069,cavep101,cavet-002til,Cavet,Pug,Tillar H.,18891226
1916-SOUA:chadbourne,cw:86ed16a2,chadc101,chadbo001che,Chadbourne,Chet,Chester James,18841028
1916-SOUA:chapman,cw:9cd799a9,chaph102,chapma002har,Chapman,Harry,Harry E.,18851026
1916-SOUA:clancy,cw:1297b46b,,clancy001joh,Clancy,John,John,
1916-SOUA:clark-bir,cw:65d8d22f,clard101,clark-002dan,Clark,Danny,Daniel Curren,18940118
1916-SOUA:clark-mob,cw:69d230ba,clarn101,clarke001jay,Clarke,Nig,Jay Justin,18821215
1916-SOUA:cook,cw:bbe0fb34,cookd101,cook--001lut,Cook,Doc,Luther Almus,18860624
1916-SOUA:coombs,cw:6c378d6a,coomc101,coombs001cec,Coombs,Cecil,Cecil Lysander,18880318
1916-SOUA:couchman,cw:ebef35b6,,couchm001rob,Couchman,Bob,Robert Macbeth,18880201
1916-SOUA:covington-cha,cw:9dd1f387,covit101,coving002wil,Covington,Tex,William Wilkes,18870319
1916-SOUA:covington-lr,cw:4a9c4e9b,covis101,coving001cla,Covington,Sam,Clarence Calvert,18941118
1916-SOUA:cruthers,cw:85594991,crutp101,cruthe001cha,Cruthers,Press,Charles Preston,18900908
1916-SOUA:davis,cw:6ce4f0c5,davib104,davis-017joh,Davis,Bud,John Wilbur,18951207
1916-SOUA:day,cw:9c1d38bb,,day---001red,Day,Red,V. M.,
1916-SOUA:deberry,cw:1e969afa,debeh101,deberr001joh,DeBerry,Hank,John Herman,18941229
1916-SOUA:dempsey,cw:4207d2a8,,dempse004jac,Dempsey,Jack,Jack,
1916-SOUA:derrick,cw:543f53ea,,derric001fre,Derrick,Fred,Frederick Bonner,18880619
1916-SOUA:dillinger,cw:3ba08ea1,dillh101,dillin002har,Dillinger,Harley,Harley Hugh,18941030
1916-SOUA:dobard,cw:39843c4a,,dobard001leo,Dobard,Leonard,Leonard Ralph,18880811
