ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1949-AA:addis,cw:3207c714,addib101,addis-001rob,Addis,Bob,Robert Gordon,19251106
1949-AA:alexander,cw:a447cdbd,alexb101,alexan006rob,Alexander,Bob,Robert Somerville,19220807
1949-AA:alston,cw:cfc65169,alstw101,alston001wal,Alston,Walter,Walter Emmons,19111201
1949-AA:anderson-col,cw:1eba3dc8,andeh102,anders005har,Anderson,Hal,Harold,19040210
1949-AA:anderson-stp,cw:8f04e091,andef102,anders001fer,Anderson,Ferrell,Ferrell Jack,19180109
1949-AA:aucoin,cw:4444a708,,aucoin001alv,Aucoin,Alvin,Alvin Joseph,19250915
1949-AA:ayers,cw:6694c2e8,ayerb101,ayers-001wil,Ayers,Bill,William Oscar,19190927
1949-AA:bahr,cw:76780fdf,bahre101,bahr--001eds,Bahr,Ed,Edson Garfield,19191016
1949-AA:bailey,cw:9ebf6fbe,,bailey001wes,Bailey,Wes,Wesley,19221207
1949-AA:barnacle,cw:0f19b6ae,,barnac001wil,Barnacle,Bill,William James,19180909
1949-AA:barnhill,cw:13c67808,,barnhi001dav,Barnhill,Dave,David,19131030
1949-AA:barrett,cw:ddc70586,barrj106,barret002joh,Barrett,Johnny,John Joseph,19151218
1949-AA:beard,cw:e72ddb86,beart101,beard-001cra,Beard,Ted,Cramer Theodore,19210107
1949-AA:belardi,cw:54dbe73c,belaw101,belard001car,Belardi,Wayne,Carroll Wayne,19300905
1949-AA:bero,cw:f7fd7daf,beroj101,bero--001joh,Bero,Johnny,John George,19221222
1949-AA:blanchard,cw:3316417b,,blanch001roy,Blanchard,Bruce,Roy Bruce,19211030
1949-AA:bohman,cw:1d71ce76,,bohman001art,Bohman,Arthur,Arthur George,19250205
1949-AA:brady,cw:4a248a9f,bradb103,brady-002rob,Brady,Bob,Robert Jay,19221108
1949-AA:brancato,cw:e0252145,brana101,branca002alb,Brancato,Al,Albert,19190529
1949-AA:broome,cw:ae9b68bd,,broome001roy,Broome,Roy,Roy Wilson,19210217
1949-AA:brown-lou,cw:507e4069,browh101,brown-001hec,Brown,Hal,Hector Harold,19241211
1949-AA:brown-stp,cw:8e748d38,,brown-004geo,Brown,George,George Edward,19230404
1949-AA:bryant,cw:ec65aaa5,,bryant004jam,Bryant,Pete,James Thomas,19220628
1949-AA:burdette,cw:bc3fde89,burdl101,burdet001sel,Burdette,Lew,Selva Lewis,19261122
1949-AA:burris,cw:79ae0e54,burrp101,burris001pau,Burris,Paul,Paul Robert,19230721
1949-AA:butland,cw:107a40a1,butlb103,butlan001wil,Butland,Bill,Wilburn Rue,19180322
1949-AA:byrnes,cw:f0106836,byrnm101,byrnes001mil,Byrnes,Milt,Milton John,19161115
1949-AA:cain,cw:168fb74d,cainb101,cain--001rob,Cain,Bob,Robert Max,19241016
1949-AA:calderone,cw:5b3db513,calds101,calder001sam,Calderone,Sam,Samuel Francis,19260206
1949-AA:callan,cw:ff6b2592,,callan001rob,Callan,Bob,Robert E.,19220725
1949-AA:cassini,cw:fa463a2a,cassj101,cassin001jac,Cassini,Jack,Jack Dempsey,19191026
1949-AA:chapman,cw:763da187,,chapma002ken,Chapman,Kenneth,Kenneth Carroll,19210426
1949-AA:clark,cw:ee62deca,claro101,clark-008wil,Clark,Otey,William Otis,19150522
1949-AA:coleman,cw:e1203118,,colema001sol,Coleman,Hampton,Solomon Hampton,19280212
1949-AA:collins,cw:75645359,collj101,collin003jos,Collins,Joe,Joseph Edward,19221203
1949-AA:conatser,cw:f7782a73,conac101,conats001cli,Conatser,Clint,Clinton Astor,19210724
1949-AA:connelly,cw:147a47e0,connb103,connel004wil,Connelly,Bill,William Wirt,19250629
1949-AA:conway,cw:de6d8b53,conwj103,conway001jac,Conway,Jack,Jack Clements,19180730
1949-AA:coogan,cw:a0d4aabf,coogd102,coogan001dal,Coogan,Dale,Dale Roger,19300814
1949-AA:corona,cw:b085a567,,corona001geo,Corona,George,George Angelo,19250206
1949-AA:costa,cw:d6fdea59,,costa-002wil,Costa,Billy,William Henry,19200211
1949-AA:creel,cw:bbc79b32,,creel-001joh,Creel,Jack,John Robert,19250426
1949-AA:crimian,cw:106f78ef,crimj101,crimia001joh,Crimian,Jack,John Melvin,19260217
1949-AA:cullop,cw:07da4140,culln102,cullop001hen,Cullop,Nick,Henry Nicholas,19001016
1949-AA:dallessandro,cw:f2a8e2a0,dalld101,dalles001nic,Dallessandro,Dom,Nicholas Dominic,19131003
1949-AA:dandridge,cw:d167c2d9,,dandri001ray,Dandridge,Ray,Raymond Emmett,19130831
1949-AA:deal,cw:f16e80f0,dealc101,deal--001ell,Deal,Cot,Ellis Ferguson,19230123
1949-AA:delsing,cw:5e926843,delsj101,delsin001jam,Delsing,Jim,James Henry,19251113
1949-AA:dorish,cw:cfa02870,dorif101,dorish001har,Dorish,Fritz,Harry,19210713
1949-AA:douglas,cw:9072fc6d,dougj101,dougla002joh,Douglas,John,John Franklin,19170914
1949-AA:drescher,cw:932a3959,dresb102,dresch001wil,Drescher,Bill,William Clayton,19210523
1949-AA:dyck,cw:f6ab936f,dyckj101,dyck--001jam,Dyck,Jim,James Robert,19220203
1949-AA:eggert,cw:8876c949,,eggert001wil,Eggert,William,William Fred,19231112
1949-AA:elbert,cw:4e90807d,,elbert001wil,Elbert,Bill,William M.,19240503
1949-AA:epperly,cw:cc9edbd4,eppea101,epperl001alb,Epperly,Al,Albert Paul,19180507
1949-AA:etten,cw:1c1c656d,etten101,etten-001nic,Etten,Nick,Nicholas Raymond Thomas,19130919
1949-AA:fernandez,cw:e455fa12,fernn101,fernan001fro,Fernandez,Nanny,Froilan,19181025
1949-AA:fleming,cw:7dea1ef1,fleml101,flemin002les,Fleming,Les,Leslie Harvey,19150807
1949-AA:foti,cw:1b344a57,,foti--001ant,Foti,Tony,Anthony John,19171002
1949-AA:fox,cw:16657e12,,fox---001lew,Fox,Pete,Lewis Edward,19210905
1949-AA:fusselman,cw:5dff4be8,fussl101,fussel001les,Fusselman,Les,Lester Leroy,19210307
1949-AA:ganss,cw:65e334ee,,ganss-001rob,Ganss,Robert,Robert,19220707
1949-AA:gardner,cw:8003c04f,gardb101,gardne003wil,Gardner,Billy,William Frederick,19270719
1949-AA:garrison,cw:22b38a5f,garrf101,garris001rob,Garrison,Ford,Robert Ford,19150829
1949-AA:gilbert,cw:8c455b95,gilba101,gilber001and,Gilbert,Andy,Andrew,19140718
1949-AA:ginsberg,cw:d2b4078d,ginsj101,ginsbe001myr,Ginsberg,Joe,Myron Nathan,19261011
1949-AA:gleeson,cw:dd683b47,gleej101,gleeso001jam,Gleeson,Jim,James Joseph,19120305
1949-AA:grate,cw:28f0d6df,gratd101,grate-001don,Grate,Don,Donald,19230827
1949-AA:griffeth,cw:1ae29354,grifl101,griffe002leo,Griffeth,Lee,Leon Clifford,19250520
1949-AA:griffore,cw:85d03c38,,griffo001joh,Griffore,Jack,John Frederick,19210328
1949-AA:groth,cw:edb43d99,grote101,groth-002ern,Groth,Ernest,Ernest William,19220503
1949-AA:gutteridge,cw:83015aa9,guttd101,gutter001don,Gutteridge,Don,Donald Joseph,19120619
1949-AA:habenicht,cw:60392c7d,habeb101,habeni001rob,Habenicht,Bob,Robert Julius,19260213
1949-AA:haddix,cw:08d07f45,haddh101,haddix001har,Haddix,Harvey,Harvey,19250918
1949-AA:hardy,cw:e0d8d0d0,hardr101,hardy-001fra,Hardy,Red,Francis Joseph,19230106
1949-AA:harrington,cw:93e05096,,harrin002cha,Harrington,Fred,Charles Frederick,19220723
1949-AA:harshman,cw:8cffce43,harsj101,harshm001joh,Harshman,Jack,John Elvin,19270712
1949-AA:hartsfield,cw:cd9ff70a,hartr101,hartsf001roy,Hartsfield,Roy,Roy Thomas,19251025
1949-AA:haugstad,cw:21f52f9b,haugp101,haugst001phi,Haugstad,Phil,Philip Donald,19240223
1949-AA:heath,cw:3b28fee8,heatt101,heath-001tho,Heath,Tommy,Thomas George,19130818
1949-AA:henley,cw:9ce894e3,henlg101,henley001gai,Henley,Gail,Gail Curtice,19281015
1949-AA:herbert,cw:7a98d82e,herbr101,herber001ray,Herbert,Ray,Raymond Ernest,19291215
1949-AA:hicks,cw:0a2e7371,hickb101,hicks-002cla,Hicks,Buddy,Clarence Walter,19270215
1949-AA:hiller,cw:0ff1ad27,hillf101,hiller001fra,Hiller,Frank,Frank Walter,19200713
1949-AA:himes,cw:f3f12aaf,,himes-001mel,Himes,Mel,Melvin Franklin,19270220
1949-AA:hinrichs,cw:607014a4,hinrp101,hinric001pau,Hinrichs,Paul,Paul Edwin,19250831
1949-AA:hoderlein,cw:b9b51903,hodem101,hoderl001mel,Hoderlein,Mel,Melvin Anthony,19230624
1949-AA:hofman,cw:1f1b342d,hofmb101,hofman001rob,Hofman,Bobby,Robert George,19251005
1949-AA:hood,cw:64175e71,hoodw102,hood--003wal,Hood,Wally,Wallace James,19250924
1949-AA:houk,cw:7ba0b8fa,houkr101,houk--001ral,Houk,Ralph,Ralph George,19190809
1949-AA:howerton,cw:b82644a8,howeb101,howert001wil,Howerton,Bill,William Ray,19211212
1949-AA:hughes,cw:906ec9aa,hughr101,hughes001roy,Hughes,Roy,Roy John,19110111
1949-AA:hutchings,cw:172fa7cd,hutcj101,hutchi001joh,Hutchings,Johnny,John Richard Joseph,19160414
1949-AA:hutchinson,cw:9abbef59,hutci101,hutchi001ira,Hutchinson,Ira,Ira Kendall,19100831
1949-AA:jennings,cw:1785d8d2,jennb101,jennin001wil,Jennings,Bill,William Lee,19250928
1949-AA:johnson,cw:2cd48ec9,johnc101,johnso001che,Johnson,Chet,Chester Lillis,19170801
1949-AA:jones,cw:0859d68b,jonej106,jones-014jam,Jones,Jake,James Murrell,19201123
1949-AA:just,cw:7522c5e5,justj101,just--001jos,Just,Joe,Joseph Erwin,19160108
1949-AA:kalin,cw:42a95158,kalif101,kalin-001fra,Kalin,Frank,Frank Bruno,19171003
1949-AA:keegan,cw:7f6391e2,keegb101,keegan001rob,Keegan,Bob,Robert Charles,19200804
1949-AA:kellogg,cw:38bfaf2b,,kellog001rob,Kellogg,Robert,Robert Clayton,19221229
1949-AA:kennedy,cw:404836e1,kennv101,kenned001llo,Kennedy,Vern,Lloyd Vernon,19070320
1949-AA:kimble,cw:b2faeba4,kimbd101,kimble001ric,Kimble,Dick,Richard Lewis,19150727
1949-AA:klinger,cw:6925b907,klinb101,klinge001rob,Klinger,Bob,Robert Harold,19080604
1949-AA:kluttz,cw:718c5590,klutc101,kluttz001cly,Kluttz,Clyde,Clyde Franklin,19171212
1949-AA:knickerbocker,cw:c9cd2ebb,knica101,knicke001aus,Knickerbocker,Austin,Austin Jay,19181015
1949-AA:konikowski,cw:756ba140,konia101,koniko001ale,Konikowski,Alex,Alexander James,19280608
1949-AA:krieger,cw:a75b644f,kriek101,kriege001kur,Krieger,Kurt,Kurt Ferdinand,19260916
1949-AA:labine,cw:5c97643c,labic101,labine001cle,Labine,Clem,Clement Walter,19260806
1949-AA:lakeman,cw:be24fb60,lakea101,lakema001alb,Lakeman,Al,Albert Wesley,19181231
1949-AA:lang,cw:0436c8e6,langd102,lang--001don,Lang,Don,Donald Charles,19150315
1949-AA:lavigne,cw:bb75c6f9,,lavign001edw,Lavigne,Red,Edward Zeno,19230902
1949-AA:layton,cw:72b69ded,laytl101,layton001les,Layton,Les,Lester Lee,19211118
1949-AA:lerchen,cw:68fa687f,lercg101,lerche001geo,Lerchen,George,George Edward,19221201
1949-AA:levan,cw:baf022f5,levaj101,levan-001jes,Levan,Jesse,Jesse Roy,19260715
1949-AA:lint,cw:fb8c2eb0,lintr101,lint--001roy,Lint,Royce,Royce James,19210101
1949-AA:logan-col,cw:f7994fe3,,logan-001ern,Logan,Ernie,Ernest William,19230119
1949-AA:logan-mil,cw:4140a710,logaj101,logan-001joh,Logan,Johnny,John,19260323
1949-AA:lombardo,cw:0921e939,lombl101,lombar002lou,Lombardo,Lou,Louis,19281118
1949-AA:lopez,cw:03cbf1cc,lopea102,lopez-002alf,Lopez,Al,Alfonso Ramon,19080820
1949-AA:lucadello,cw:4d8b2b50,lucaj102,lucade001joh,Lucadello,Johnny,John,19190222
1949-AA:lund,cw:f093d2f4,lundd102,lund--001don,Lund,Don,Donald Andrew,19230518
1949-AA:lupien,cw:40a1236a,lupit101,lupien001uly,Lupien,Tony,Ulysses John,19170423
1949-AA:madison,cw:90d962c0,madid101,madiso001dav,Madison,Dave,David Pledger,19210201
1949-AA:maguire,cw:3d397d3d,maguj101,maguir001jac,Maguire,Jack,Jack,19250205
1949-AA:main,cw:4b2c9257,mainw102,main--001for,Main,Woody,Forrest Harry,19220212
1949-AA:mallette,cw:c8ed2e95,mallm101,mallet001mal,Mallette,Mal,Malcolm Francis,19220130
1949-AA:malloy,cw:1c05b94b,mallb102,malloy001rob,Malloy,Bob,Robert Paul,19180528
1949-AA:manville,cw:4dffa483,manvd101,manvil001ric,Manville,Dick,Richard Wesley,19261225
1949-AA:march,cw:3786c408,,marche001edw,Marchefsky,Edward,Edward B.,19241121
1949-AA:martin-mil,cw:15bd6a1b,martr103,martin002ray,Martin,Ray,Raymond Joseph,19250313
1949-AA:martin-stp,cw:08084fff,martm101,martin001mor,Martin,Morrie,Morris Webster,19220903
1949-AA:mavis,cw:3b401ac7,mavib101,mavis-001rob,Mavis,Bob,Robert Henry,19180408
1949-AA:mayo,cw:aa125810,mayoe101,mayo--001edw,Mayo,Eddie,Edward Joseph,19100415
1949-AA:mccall,cw:24079ba2,mccaw102,mccall002joh,McCall,Windy,John William,19250718
1949-AA:mcdermott,cw:f67c0be2,mcdem102,mcderm001mau,McDermott,Mickey,Maurice Joseph,19290429
1949-AA:mcgaha,cw:ed1d38af,mcgam801,mcgaha001fre,McGaha,Mel,Fred Melvin,19260926
1949-AA:mikan,cw:28e54361,,mikan-001joh,Mikan,Mike,John Michael,19181130
1949-AA:moore,cw:26515889,,moore-001hom,Moore,Art,Homer Arthur,19230620
1949-AA:mordarski,cw:0ebc4da0,,mordar001edw,Mordarski,Mike,Edward Leonard,19250602
1949-AA:morrison,cw:f96b3e5d,,morris001kar,Morrison,Karl,Karl J.,19261012
1949-AA:moss,cw:63da47fc,mossh101,moss--001how,Moss,Howie,Howard Glenn,19181017
1949-AA:mueller-lou,cw:4e6b8ca3,muelg101,muelle001jos,Mueller,Gordie,Joseph Gordon,19221210
1949-AA:mueller-min,cw:d1d10e73,mueld101,muelle001don,Mueller,Don,Donald Frederick,19270414
1949-AA:muffoletto,cw:4f7a4be1,,muffol001jos,Muffoletto,Joe,Joseph Anthony,19210621
1949-AA:muir,cw:d0cc8d21,muirj101,muir--001jos,Muir,Joe,Joseph Allen,19221126
1949-AA:natisin,cw:33e995a4,,natisi001mic,Natisin,Michael,Michael,19161031
1949-AA:naylor,cw:1a5411b0,nayle101,naylor001ear,Naylor,Earl,Earl Eugene,19190519
1949-AA:nothe,cw:c2bc4f33,,nothe-001wal,Nothe,Walt,Walter,19171215
1949-AA:oconnell,cw:8eed417a,ocond101,oconne001dan,O'Connell,Danny,Daniel Francis,19290121
1949-AA:olsen,cw:b63fd241,olseb101,olsen-001ber,Olsen,Barney,Bernard Charles,19190911
1949-AA:ozark,cw:68c0be35,ozard801,ozark-001dan,Ozark,Danny,Daniel Leonard,19231126
1949-AA:palm,cw:22eaac8c,palmm101,palm--001ric,Palm,Mike,Richard Paul,19250213
1949-AA:pearson,cw:8fed30f2,peari101,pearso001isa,Pearson,Ike,Isaac Overton,19170301
1949-AA:pendleton,cw:c8c1a695,pendj101,pendle001jam,Pendleton,Jim,James Edward,19240107
1949-AA:perry,cw:7d7237a0,,perry-001hen,Perry,Henry,Henry Kilpatrick,19210214
1949-AA:peters,cw:54506de7,peter101,peters001rus,Peters,Rusty,Russell Dixon,19141214
1949-AA:phillips,cw:3c045f6b,phild104,philli001dam,Phillips,Dee,Damon Roswell,19190608
1949-AA:picone,cw:b1dd2a27,picom101,picone001mar,Picone,Mario,Mario Peter,19260705
1949-AA:piersall,cw:91fce86d,pierj102,piersa001jam,Piersall,Jim,James Anthony,19291114
1949-AA:plate,cw:f2b02cb9,,plate-002wil,Plate,William,William H.,19240523
1949-AA:prendergast,cw:e51c0e5e,prenj101,prende001jam,Prendergast,Jim,James Bartholomew,19170823
1949-AA:pyle,cw:b3efceef,pylee101,pyle--001her,Pyle,Ewald,Ewald,19100827
1949-AA:queen,cw:c480a126,queem101,queen-002mel,Queen,Mel,Melvin Joseph,19180304
1949-AA:rapp,cw:ecfefddb,rappv801,rapp--001ver,Rapp,Vern,Vernon Fred,19280511
1949-AA:remke,cw:b1e56bca,,remke-001joh,Remke,John,John Lang,19270321
1949-AA:richter,cw:d08b34f4,richa101,richte001all,Richter,Al,Allen Gordon,19270207
1949-AA:rikard,cw:2777479f,rikac101,rikard001cul,Rikard,Culley,Culley,19140509
1949-AA:robertson,cw:acf68c37,,robert005don,Robertson,Donald,Donald Edgar,19251224
1949-AA:robinson.j,cw:3940ef4e,robij101,robins002joh,Robinson,Jack,John Edward,19210220
1949-AA:robinson.w,cw:992f4045,robis802,robins001war,Robinson,Sheriff,Warren Grant,19210908
1949-AA:romano,cw:7056704d,romaj102,romano001jam,Romano,Jim,James King,19270406
1949-AA:rowell,cw:0e9985d3,roweb101,rowell001car,Rowell,Bama,Carvel William,19160113
1949-AA:roy,cw:854820d3,roy-n101,roy---001nor,Roy,Normie,Norman Brooks,19281115
1949-AA:russell,cw:6dd74c0e,russr101,russel001gle,Russell,Rip,Glen David,19150126
1949-AA:rutner,cw:ec3eed6c,rutnm101,rutner001mil,Rutner,Mickey,Milton,19190318
1949-AA:ryba,cw:6ff6c802,rybam101,ryba--001dom,Ryba,Mike,Dominic Joseph,19030609
1949-AA:saffell,cw:77c2b621,safft101,saffel001tho,Saffell,Tom,Thomas Judson,19210726
1949-AA:scala,cw:9b62a043,scalj102,scala-001ger,Scala,Jerry,Gerard Michael,19240927
1949-AA:schenz,cw:72a2b764,scheh103,schenz001hen,Schenz,Hank,Henry Leonard,19190411
1949-AA:scherbarth,cw:a819d056,scheb102,scherb001rob,Scherbarth,Bob,Robert Elmer,19260118
1949-AA:schulte,cw:78adcbff,schul101,schult001leo,Schulte,Len,Leonard Bernard,19161205
1949-AA:scott,cw:a8318630,,scott-002wil,Scott,William,William John,19171026
