ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1915-AA:aldridge,cw:11d3ed8e,aldrv101,aldrid001vic,Aldridge,Vic,Victor,18931025
1915-AA:alexander,cw:a433adf9,,alexan017---,Alexander,,,
1915-AA:allison,cw:75712b56,allim102,alliso001mac,Allison,Mack,Mack Pendleton,18870123
1915-AA:altizer,cw:f0837d14,altid101,altize001dav,Altizer,Dave,David Tilden,18761106
1915-AA:autrey,cw:c667205c,autrc101,autry-001wil,Autry,Chick,William Askew,18850102
1915-AA:bacon,cw:6919eccf,bacoe101,bacon-001edg,Bacon,Eddie,Edgar Suter,18950408
1915-AA:barbeau,cw:4763be53,barbj101,barbea001wil,Barbeau,Jap,William Joseph,18820610
1915-AA:bassler,cw:df4127cf,bassj102,bassle002joh,Bassler,Johnny,John Landis,18950603
1915-AA:beall-cle,cw:b588156c,,beall-001geo,Beall,George,George,
1915-AA:beall-mil,cw:932d7445,bealj101,beall-001joh,Beall,Johnny,John Woolf,18820312
1915-AA:benn,cw:2b8eb9e9,bennh101,benn--001hen,Benn,Henry,Henry Omer,18900125
1915-AA:bennett,cw:dce9d642,morrb103,morris001jos,Bennett,Bugs,Joseph Harley,18920419
1915-AA:benson,cw:33b4289e,,benson001elm,Bensen,Elmer,Elmer Martin,18840911
1915-AA:bentley,cw:2b01a44a,bentj101,bentle001joh,Bentley,Jack,John Needles,18950308
1915-AA:berg,cw:111f39ad,burgp101,burg--001jos,Burg,Joe,Joseph Peter,18820604
1915-AA:billings,cw:f0f9ffb8,billj103,billin003joh,Billings,Josh,John Augustus,18911130
1915-AA:blackburn,cw:b83a97c2,blace101,blackb001ear,Blackburn,Earl,Earl Stuart,18921101
1915-AA:boothby,cw:d1c551fc,,boothb001cy-,Boothby,Cy,Orville Richard,18880718
1915-AA:bowman,cw:2e30a0a7,bowma101,bowman001alv,Bowman,Abe,Alvah Edson,18930125
1915-AA:brannan,cw:1e5743b6,,branno001fra,Brannon,Frank,Frank,188708
1915-AA:bratchi,cw:65603708,bratf101,bratsc001fre,Bratschi,Fred,Frederick Oscar,18920116
1915-AA:brenton,cw:162c0f58,brenl101,brento001lyn,Brenton,Lynn,Lynn Davis,18891007
1915-AA:bronkie,cw:254b0689,bronh101,bronki001her,Bronkie,Herman,Herman Charles,18850330
1915-AA:burch,cw:944cbc0d,burca101,burch-001alb,Burch,Al,Albert William,18831007
1915-AA:burk,cw:49c260c3,burks101,burk--001cha,Burk,Sandy,Charles Sanford,18870422
1915-AA:burns,cw:9e934639,,burns-001ott,Burns,Otto,Otto Abraham,18860403
1915-AA:butcher,cw:d5fca3f1,butch101,butche001hen,Butcher,Hank,Henry Joseph,18860712
1915-AA:callahan,cw:4830991d,calld101,callah002dav,Callahan,Dave,David Joseph,18880720
1915-AA:cantwell,cw:5647f505,,cantwe001ric,Cantwell,Richard,Richard,
1915-AA:carroll,cw:5998038e,,carrol020---,Carroll,,,
1915-AA:carter,cw:bb08a7c4,cartn101,carter002con,Carter,Nick,Conrad Powell,18790519
1915-AA:cashion,cw:9c3c84be,cashc101,cashio001jay,Cashion,Carl,Jay Carl,18890604
1915-AA:chappelle,cw:9d958cd9,chapl101,chappe001lav,Chappell,Larry,LaVerne Ashford,18900219
1915-AA:clark,cw:252b2c09,clarp102,clark-004har,Clark,Pep,Harry,18830320
1915-AA:clemons,cw:ff9a0a09,clemv101,clemon001ver,Clemons,Verne,Verne James,18910908
1915-AA:cole,cw:5cc44834,colew101,cole--006wil,Cole,Willis,Willis Russell,18820106
1915-AA:coleman,cw:0ebe7f0f,coleb102,colema003rob,Coleman,Bob,Robert Hunter,18900926
1915-AA:collamore,cw:17eab8a9,colla101,collam001all,Collamore,Allan,Allan Edward,18870605
1915-AA:compton,cw:f6ba10e4,compp101,compto001ann,Compton,Pete,Anna Sebastian,18890928
1915-AA:conzelman,cw:6eea2800,conzj101,conzel001jos,Conzelman,Joe,Joseph Harrison,18890714
1915-AA:corriden,cw:c75b15a6,corrr101,corrid001joh,Corriden,Red,John Michael,18870904
1915-AA:crandall,cw:85d91db4,,cranda002kar,Crandall,Karl,Karl Everett,18890330
1915-AA:crisp,cw:48dce42d,crisj101,crisp-001jos,Crisp,Joe,Joseph Shelby,18850708
1915-AA:crossin,cw:4ca8f800,crosf102,crossi001fra,Crossin,Frank,Frank Patrick,18910615
1915-AA:cruise,cw:8fc9999e,cruiw101,cruise001wal,Cruise,Walton,Walton Edwin,18900506
1915-AA:curtis,cw:d2f9555c,curtc101,curtis001cli,Curtis,Cliff,Clifton Garfield,18810703
1915-AA:danforth,cw:9ea2e3b9,danfd101,danfor001dav,Danforth,Dave,David Charles,18900307
1915-AA:daniels,cw:8353bd4f,danib101,daniel001ben,Daniels,Bert,Bernard Elmer,18821031
1915-AA:davis,cw:abe31881,david102,davis-003fra,Davis,Dixie,Frank Talmadge,18901012
1915-AA:dawson,cw:e6f7fb55,dawsr101,dawson001rex,Dawson,Rex,Rexford Paul,18880210
1915-AA:delhi,cw:b435a3b6,delhf101,delhi-001lee,Delhi,Flame,Lee William,18921105
1915-AA:dell,cw:d872f498,,dell--001joh,Dell,John,John,
1915-AA:derrick,cw:473e24c5,derrc101,derric001cla,Derrick,Claud,Claud Lester,18860611
1915-AA:devogt,cw:7bb685f6,devor101,devogt001rex,DeVogt,Rex,Rex Eugene,18880104
1915-AA:dillinger,cw:3ba08ea1,dillh101,dillin002har,Dillinger,Harley,Harley Hugh,18941030
1915-AA:dougherty,cw:dd64005f,dougt101,doughe001tho,Dougherty,Tom,Thomas James,18810530
1915-AA:dressen,cw:c8489ecc,dresl101,dresse001lee,Dressen,Lee,Leo August,18890723
1915-AA:dyer,cw:4964de93,dyerb101,dyer--001ben,Dyer,Ben,Benjamin Franklin,18930213
1915-AA:eayrs,cw:49c3f1bf,eayre101,eayrs-001edw,Eayrs,Eddie,Edwin,18901110
1915-AA:ellis,cw:6ac068f6,,ellis-001wil,Ellis,William,William E.,
1915-AA:engel,cw:0b2c56a9,engej101,engel-001jos,Engel,Joe,Joseph William,18930312
1915-AA:eschen,cw:28100812,eschj101,eschen002jam,Eschen,Jim,James Godrich,18910821
1915-AA:evans,cw:7376ed7f,,evans-019---,Evans,,,
1915-AA:faeth,cw:5529a928,faett101,faeth-001ant,Faeth,Tony,Anthony Joseph,18930709
1915-AA:faye,cw:84d57887,,faye--001edw,Faye,Ed,Edward,18910109
1915-AA:ferry,cw:a08648e5,ferrj101,ferry-002joh,Ferry,Jack,John Francis,18870407
1915-AA:fiene,cw:4d1437df,fienl101,fiene-001lou,Fiene,Lou,Louis Henry,18841229
1915-AA:gardner-cle,cw:4e63931c,garde101,gardne001ear,Gardner,Earle,Earle McClurkin,18840124
1915-AA:gardner-sp+kc,cw:50a21771,gardh101,gardne003har,Gardner,Harry,Harry Ray,18870601
1915-AA:geibel,cw:f465eb41,,geibel001jos,Geibel,Joseph,Joseph,
1915-AA:george,cw:16c4bf84,georl101,george001tho,George,Lefty,Thomas Edward,18860813
1915-AA:gharrity,cw:276c42e1,gharp101,gharri001edw,Gharrity,Patsy,Edward Patrick,18920313
1915-AA:gipe,cw:0f620783,,gipe--001alv,Gipe,Al,Alva Earl,18920114
1915-AA:glenn,cw:2de209db,glenh101,glenn-001har,Glenn,Harry,Harry Melville,18900609
1915-AA:gossett,cw:ed4cbfd1,gossd101,gosset001joh,Gossett,Dick,John Star,18900821
1915-AA:hall,cw:f442d879,hallc103,hall--004cha,Hall,Charley,Charles Louis,18840727
1915-AA:harper,cw:9de33c0b,harph101,harper001har,Harper,Harry,Harry Clayton,18950424
1915-AA:hill,cw:302b7c40,hillh105,hill--001her,Hill,Herbert,Herbert Lee,18910819
1915-AA:hinchman,cw:9efa7a4f,hinch101,hinchm001har,Hinchman,Harry,Harry Sibley,18780804
1915-AA:hoch,cw:9df7e7a5,hochh101,hoch--001har,Hoch,Harry,Harry Keller,18870109
1915-AA:hofman,cw:4593fb5f,hofft101,hoffma001edw,Hoffman,Tex,Edward Adolph,18931130
1915-AA:hogue,cw:4fb7ebf6,,hogue-001ira,Hogue,Ira,Ira B.,
1915-AA:holland,cw:7cc2d49c,,hollan002har,Holland,Harry,Harry S.,
1915-AA:hopper,cw:d7014fde,hoppb101,hopper001wil,Hopper,Bill,William Booth,18910826
1915-AA:hovlik,cw:02eb75c0,hovlj101,hovlik001jos,Hovlik,Joe,Joseph,18840816
1915-AA:hughes,cw:4a6af2e6,,hughes004joh,Hughes,John,John Joseph,18830604
1915-AA:hulswitt,cw:eb4f9f9f,hulsr101,hulswi001rud,Hulswitt,Rudy,Rudolph Edward,18770223
1915-AA:ingersoll,cw:980c878a,ingeb101,ingers001rob,Ingersoll,Bob,Robert Randolph,18830108
1915-AA:james,cw:f918b3e9,jamel102,james-004wil,James,Lefty,William L.,18890701
1915-AA:jennings,cw:3cfcf354,,jennin001mor,Jennings,Morely,Morely,
1915-AA:johns,cw:105c211d,johnp101,johns-002wil,Johns,Pete,William R.,18880117
1915-AA:johnson,cw:e2f8c488,johne103,johnso002elm,Johnson,Elmer,Elmer Ellsworth,18840612
1915-AA:jones,cw:2d7e5586,jonet103,jones-002tho,Jones,Tom,Thomas,18740621
1915-AA:kahler,cw:188fbcbc,kahlg101,kahler001geo,Kahler,George,George Runnells,18890906
1915-AA:karger,cw:f953fa14,karge101,karger001edw,Karger,Ed,Edwin,18830506
1915-AA:kelly,cw:2676457d,kellj102,kelly-004jos,Kelly,Joe,Joseph Henry,18860923
1915-AA:kirke,cw:72ecb5a6,kirkj101,kirke-002jud,Kirke,Jay,Judson Fabian,18880616
1915-AA:knight,cw:cba9cbe4,knigj102,knight004joh,Knight,John,John Wesley,18851006
1915-AA:laroy,cw:b0cb6bb0,lerol101,leroy-001lou,LeRoy,Louis,Louis Paul,18790218
1915-AA:larsen,cw:9898b79e,,larsen001ber,Larsen,Bert,Bert R.,
1915-AA:lathrop,cw:3b9fe682,lathb101,lathro001wil,Lathrop,Bill,William George,18910812
1915-AA:leifield,cw:c7cf9d49,leifl101,leifie001alb,Leifield,Lefty,Albert Peter,18830905
1915-AA:lelivelt,cw:cb2421f9,lelij101,lelive001joh,Lelivelt,Jack,John Frank,18851114
1915-AA:leonard,cw:9d9cfa1e,leonj101,leonar002jos,Leonard,Joe,Joseph Howard,18931114
1915-AA:leverenz,cw:397fbc13,levew101,levere001wal,Leverenz,Walt,Walter Fred,18880721
1915-AA:lewis,cw:5974085d,lewip101,lewis-001phi,Lewis,Phil,Philip,18831007
1915-AA:marks,cw:51df7486,,marks-001fre,Marks,Fred,Frederick,
1915-AA:marshall,cw:30bacaa2,,marsha002rob,Marshall,Robert,Robert,
1915-AA:martin,cw:f61d3d3c,,martin109---,Martin,,,
1915-AA:massey-cle,cw:dd8dd0ae,massm101,massey002wil,Massey,Mike,William Herbert,18930928
1915-AA:massey-min,cw:9738a6cc,massr101,massey002roy,Massey,Red,Roy Hardee,18901009
1915-AA:mattick,cw:aa4b524a,mattw101,mattic001wal,Mattick,Wally,Walter Joseph,18870312
1915-AA:mayer,cw:ab721dd8,mayes101,mayer-001sam,Mayer,Sam,Samuel Frankel,18930228
1915-AA:mccall,cw:11d9e7e5,mccoa103,mccoll001ale,McColl,Alex,Alexander Boyd,18940329
1915-AA:mcmillan,cw:b8bb6f0a,mcmit101,mcmill004tho,McMillan,Tommy,Thomas Law,18880418
1915-AA:merz,cw:96aba8c4,,merz--001ott,Merz,Otto,Otto Charles,18891009
1915-AA:metz,cw:4229f592,,metz--001fra,Metz,Frank,Benjamin Franklin,1885
1915-AA:middleton,cw:e5c606f4,middj102,middle001jam,Middleton,Jim,James Blaine,18890528
1915-AA:midkiff,cw:3b2159b8,midke101,midkif003ezr,Midkiff,Ezra,Ezra Millington,18821113
1915-AA:miller.c-sp+kc,cw:948c863a,,miller001cha,Miller,Charles,Charles,
1915-AA:miller.e-lou,cw:e6225ef3,mille103,miller009edw,Miller,Ed,Edwin Collins,18881124
1915-AA:miller.r-col,cw:97142ea3,millr107,miller007ray,Miller,Ray,Raymond Peter,18880212
1915-AA:moore,cw:e58c8931,,moore-003hen,Moore,Henry,Henry P.,1892
1915-AA:niles,cw:986b8a2f,nileh101,niles-001her,Niles,Harry,Herbert Clyde,18800910
1915-AA:nixon,cw:b3066907,,nixon-002wil,Nixon,Billy,William,
1915-AA:north,cw:be7f3f96,,north-004---,North,,,
1915-AA:northrop,cw:12a76cb4,nortj102,northr001geo,Northrop,Jake,George Howard,18880305
1915-AA:oleary,cw:06587cf1,oleac101,oleary001cha,O'Leary,Charley,Charles Timothy,18751015
1915-AA:osborn,cw:36b62d28,osbof102,osborn001wil,Osborn,Fred,Wilferd Pearl,18831128
1915-AA:osborne,cw:0ba7f07c,,osborn001arc,Osborne,Archie,Arch J.,18810307
1915-AA:otoole,cw:fb2d4b15,otoom101,otoole001mar,O'Toole,Marty,Martin James,18881127
1915-AA:paddock,cw:60359231,paddd101,paddoc001del,Paddock,Del,Delmer Harold,18870608
1915-AA:pennybacker,cw:37e60965,,pennyb001ros,Pennybaker,Ross,Ross,
1915-AA:perry,cw:1efb9daf,,perry-001rop,Perry,Rope,Rope,
1915-AA:platte,cw:356ab05a,plata101,platte001alf,Platte,Al,Alfred Frederick Joseph,18900413
1915-AA:randall,cw:6c7c5228,randn101,randal001new,Randall,Newt,Newton John,18800203
1915-AA:rath,cw:50bba699,rathm101,rath--001mor,Rath,Morrie,Morris Charles,18861225
1915-AA:regan-ind,cw:0ed8585a,,regan-001ste,Regan,Stephen,Stephen P.,1891
1915-AA:regan-kc,cw:638b563c,regam101,regan-001mic,Regan,Mike,Michael John,18871119
1915-AA:reilley,cw:84508e88,reild101,reille001ale,Reilley,Duke,Alexander Aloysius,18840825
1915-AA:reynolds,cw:69832d31,reynr101,reynol001ros,Reynolds,Ross,Ross Ernest,18870820
1915-AA:rhoades,cw:0fcd9b93,,rhoade001h--,Rhoades,Harry,Harry H.,
1915-AA:riggert,cw:00dbd22e,riggj101,rigger001jos,Riggert,Joe,Joseph Aloysius,18861211
1915-AA:robertson,cw:1dc7de73,,robert002ern,Robertson,Ernest,Ernest,
1915-AA:rondeau,cw:8e840fae,rondh101,rondea001hen,Rondeau,Henri,Henri Joseph,18870505
1915-AA:sanders,cw:a55d14e5,sandr104,sander002roy,Sanders,Roy,Roy Garvin,18920801
1915-AA:scaman,cw:087db6e7,,seaman002wal,Seaman,Walter,Walter H.,
1915-AA:scanlon,cw:1df9b03c,scanf101,scanla002fra,Scanlan,Frank,Frank Aloysius,18900428
1915-AA:schardt,cw:58fbdbce,schab102,schard001wil,Schardt,Bill,Wilburt,18860120
1915-AA:scheneberg,cw:ff46f1ed,schej103,schene001joh,Scheneberg,John,John Bluford,18871120
1915-AA:shackelford,cw:8a9b6a67,,shacke001joh,Shackelford,John,John C.,
1915-AA:shelton,cw:05661218,shels101,shelto001and,Shelton,Skeeter,Andrew Kemper,18880629
1915-AA:shovlin,cw:31a0be0f,shovj101,shovli001joh,Shovlin,John,John Joseph,18910114
1915-AA:slapnicka,cw:b38d9ea2,slapc101,slapni001cyr,Slapnicka,Cy,Cyril Charles,18860323
1915-AA:smith,cw:b5ea7fe0,smitw103,smith-002wal,Smith,Wally,Wallace Henry,18880313
1915-AA:southworth,cw:b8be8c57,soutb101,southw003wil,Southworth,Billy,William Harold,18930309
1915-AA:stansbury,cw:41a9a5f0,stanj102,stansb001joh,Stansbury,Jack,John James,18851206
1915-AA:steele,cw:a480b41c,steeb103,steele004rob,Steele,Bob,Robert Wesley,18940329
1915-AA:steil,cw:ee930c16,,steil-001mel,Steil,Melbourne,Melbourne Henry Ford,18931114
1915-AA:stutz,cw:75329fa8,stutg101,stutz-001geo,Stutz,George,George Washington,18890213
1915-AA:sullivan,cw:d0d341b0,sullb102,sulliv006wil,Sullivan,Billy,William Joseph,18750201
1915-AA:taylor,cw:5cffe24d,taylw101,taylor002phi,Taylor,Wiley,Philip Wiley,18880318
1915-AA:tipple,cw:141210a3,tippd101,tipple001dan,Tipple,Dan,Daniel Slaughter,18900213
1915-AA:titus,cw:edd1ff06,tituj101,titus-001joh,Titus,John,John Franklin,18760221
1915-AA:turner,cw:204f845b,turnt104,turner001the,Turner,Ted,Theodore Holhot,18920504
1915-AA:vaiden,cw:260dd548,,vaiden001tom,Vaiden,Tom,Thomas Clifford,18901113
1915-AA:walker,cw:0958b571,walkd102,walker001ewa,Walker,Dixie,Ewart Gladstone,18880601
1915-AA:weinberg,cw:cdb75735,,weinbe001ed-,Weinberg,Ed,Ed J.,
1915-AA:wilie,cw:49c1adcd,wilid101,wilie-001den,Wilie,Denney,Dennis Ernest,18900922
