league.key,league.year,league.name.full,league.name.short
1938-ALFL,1938,Alabama-Florida League,Alabama-Florida
1938-AA,1938,American Association,American Association
1938-AL,1938,American League,American
1938-APPY,1938,Appalachian League,Appalachian
1938-AZTX,1938,Arizona-Texas League,Arizona-Texas
1938-ARMO,1938,Arkansas-Missouri League,Arkansas-Missouri
1938-BIST,1938,Bi-State League,Bi-State
1938-CAWL,1938,California Winter League,California Winter
1938-CAML,1938,Canadian-American League,Canadian-American
1938-CBCL,1938,Cape Breton Colliery League,Cape Breton Colliery
1938-CARB,1938,Carolina Baseball League,Carolina Baseball
1938-COPL,1938,Coastal Plain League,Coastal Plain
1938-COL,1938,Collegiate Teams,Collegiate
1938-CSTL,1938,Cotton States League,Cotton States
1938-CUBL,1938,Cuban League,Cuban
1938-CUWL,1938,Cuban Winter League,Cuban Winter
1938-ETXL,1938,East Texas League,East Texas
1938-EL,1938,Eastern League,Eastern
1938-ESHL,1938,Eastern Shore League,Eastern Shore
1938-EVAN,1938,Evangeline League,Evangeline
1938-FLOR,1938,Florida State League,Florida State
1938-GAFL,1938,Georgia-Florida League,Georgia-Florida
1938-IIIL,1938,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1938-INDN,1938,Independent Negro,Independent Negro
1938-IL,1938,International League,International
1938-JPBF,1938,Japanese Baseball League (Fall),Japanese (Fall)
1938-JPBS,1938,Japanese Baseball League (Spring),Japanese (Spring)
1938-KITL,1938,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1938-MEX,1938,Mexican League,Mexican
1938-MATL,1938,Middle Atlantic League,Middle Atlantic
1938-MTNS,1938,Mountain State League,Mountain State
1938-NL,1938,National League,National
1938-NESL,1938,Nebraska State League,Nebraska State
1938-NAL,1938,Negro American League,Negro American
1938-NNL,1938,Negro National League,Negro National
1938-NCSL,1938,North Carolina State League,North Carolina State
1938-NEAR,1938,Northeast Arkansas League,Northeast Arkansas
1938-NORL,1938,Northern League,Northern
1938-OHSL,1938,Ohio State League,Ohio State
1938-PCL,1938,Pacific Coast League,Pacific Coast
1938-PASA,1938,Pennsylvania State Association,Pennsylvania State Association
1938-PIED,1938,Piedmont League,Piedmont
1938-PRWL,1938,Puerto Rican Winter League,Puerto Rican Winter
1938-QUPL,1938,Quebec Provincial League,Quebec Provincial
1938-SALL,1938,South Atlantic League,South Atlantic
1938-SEAL,1938,Southeastern League,Southeastern
1938-SOUA,1938,Southern Association,Southern Association
1938-TL,1938,Texas League,Texas
1938-TXVL,1938,Texas Valley League,Texas Valley
1938-TRIS,1938,Tri-State League,Tri-State
1938-WTNM,1938,West Texas-New Mexico League,West Texas-New Mexico
1938-WA,1938,Western Association,Western Association
1938-WINT,1938,Western International League,Western International
1938-WL,1938,Western League,Western
