league.key,league.year,league.name.full,league.name.short
1942-AA,1942,American Association,American Association
1942-AL,1942,American League,American
1942-APPY,1942,Appalachian League,Appalachian
1942-BIST,1942,Bi-State League,Bi-State
1942-CALL,1942,California League,California
1942-CAWL,1942,California Winter League,California Winter
1942-CAML,1942,Canadian-American League,Canadian-American
1942-COL,1942,Collegiate Teams,Collegiate
1942-CUBL,1942,Cuban League,Cuban
1942-CUWL,1942,Cuban Winter League,Cuban Winter
1942-EL,1942,Eastern League,Eastern
1942-EVAN,1942,Evangeline League,Evangeline
1942-FECL,1942,Florida East Coast League,Florida East Coast
1942-GAFL,1942,Georgia-Florida League,Georgia-Florida
1942-IIIL,1942,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1942-INDN,1942,Independent Negro,Independent Negro
1942-IL,1942,International League,International
1942-ISLG,1942,Interstate League,Interstate
1942-JPBL,1942,Japanese Baseball League,Japanese
1942-KITL,1942,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1942-MEX,1942,Mexican League,Mexican
1942-MATL,1942,Middle Atlantic League,Middle Atlantic
1942-MTNS,1942,Mountain State League,Mountain State
1942-NL,1942,National League,National
1942-NAL,1942,Negro American League,Negro American
1942-NMBL,1942,Negro Major Baseball League Of America,Negro Major Of America
1942-NNL,1942,Negro National League,Negro National
1942-NCSL,1942,North Carolina State League,North Carolina State
1942-NORL,1942,Northern League,Northern
1942-PCL,1942,Pacific Coast League,Pacific Coast
1942-PNWL,1942,Panama Winter League,Panama Winter
1942-PASA,1942,Pennsylvania State Association,Pennsylvania State Association
1942-PONY,1942,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1942-PIED,1942,Piedmont League,Piedmont
1942-PION,1942,Pioneer League,Pioneer
1942-PRWL,1942,Puerto Rican Winter League,Puerto Rican Winter
1942-QUPL,1942,Quebec Provincial League,Quebec Provincial
1942-SALL,1942,South Atlantic League,South Atlantic
1942-SEAL,1942,Southeastern League,Southeastern
1942-SOUA,1942,Southern Association,Southern Association
1942-TL,1942,Texas League,Texas
1942-VIRL,1942,Virginia League,Virginia
1942-WTNM,1942,West Texas-New Mexico League,West Texas-New Mexico
1942-WA,1942,Western Association,Western Association
1942-WINT,1942,Western International League,Western International
1942-WISL,1942,Wisconsin State League,Wisconsin State
