league.key,league.year,league.name.full,league.name.short
1912-AA,1912,American Association,American Association
1912-AL,1912,American League,American
1912-APPY,1912,Appalachian League,Appalachian
1912-BLGR,1912,Blue Grass League,Blue Grass
1912-BORD,1912,Border League,Border
1912-CANL,1912,Canadian League,Canadian
1912-CARA,1912,Carolina Association,Carolina Association
1912-CASL,1912,California State League,California State
1912-CAWL,1912,California Winter League,California Winter
1912-CENA,1912,Central Association,Central Association
1912-CENL,1912,Central League,Central
1912-CINT,1912,Central International League,Central International
1912-CKSL,1912,Central Kansas League,Central Kansas
1912-CMLS,1912,Cuban-American Major League Clubs Series,Cuban-Major Series
1912-CNCS,1912,Cuban-American Negro Clubs Series,Cuban-Negro Series
1912-COL,1912,Collegiate Teams,Collegiate
1912-CSTL,1912,Cotton States League,Cotton States
1912-CTST,1912,Connecticut State League,Connecticut State
1912-CUBL,1912,Cuban League,Cuban
1912-CUNL,1912,Cuban National League,Cuban National
1912-CUWL,1912,Cuban Winter League,Cuban Winter
1912-DCL,1912,Dallas City League,Dallas City
1912-DCML,1912,Dallas Commercial League,Dallas Commercial
1912-EMIL,1912,Eastern Michigan League,Eastern Michigan
1912-IASL,1912,Iowa State League,Iowa State
1912-IIIL,1912,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1912-IL,1912,International League,International
1912-ILMO,1912,Illinois-Missouri League,Illinois-Missouri
1912-ILPB,1912,Iowa League Of Professional Baseball Clubs,Iowa
1912-KITL,1912,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1912-MACT,1912,Massachusetts-Connecticut League,Massachusetts-Connecticut
1912-MICH,1912,Michigan State League,Michigan State
1912-MINK,1912,Missouri-Iowa-Nebraska-Kansas League,Missouri-Iowa-Nebraska-Kansas
1912-MNWI,1912,Minnesota-Wisconsin League,Minnesota-Wisconsin
1912-MOKS,1912,Missouri-Kansas League,Missouri-Kansas
1912-MTSS,1912,Mountain States League,Mountain States
1912-NENL,1912,New England League,New England
1912-NESL,1912,Nebraska State League,Nebraska State
1912-NL,1912,National League,National
1912-NSIN,1912,Northern State of Indiana League,Northern State of Indiana
1912-NWES,1912,Northwestern League,Northwestern
1912-NYSL,1912,New York State League,New York State
1912-OHPA,1912,Ohio-Pennsylvania League,Ohio-Pennsylvania
1912-OHSL,1912,Ohio State League,Ohio State
1912-OHVL,1912,Ohio Valley League,Ohio Valley
1912-OKSL,1912,Oklahoma State League,Oklahoma State
1912-PCL,1912,Pacific Coast League,Pacific Coast
1912-RMTL,1912,Rocky Mountain League,Rocky Mountain
1912-SALL,1912,South Atlantic League,South Atlantic
1912-SCEN,1912,South Central League,South Central
1912-SEAL,1912,Southeastern League,Southeastern
1912-SMIL,1912,Southern Michigan League,Southern Michigan
1912-SOTX,1912,Southern Texas League,Southern Texas
1912-SOUA,1912,Southern Association,Southern Association
1912-TL,1912,Texas League,Texas
1912-TRIS,1912,Tri-State League,Tri-State
1912-TXOK,1912,Texas-Oklahoma League,Texas-Oklahoma
1912-UA,1912,Union Association,Union Association
1912-USLG,1912,United States League,United States
1912-VIRL,1912,Virginia League,Virginia
1912-VMTL,1912,Virginia Mountain League,Virginia Mountain
1912-WASL,1912,Washington State League,Washington State
1912-WCAN,1912,Western Canada League,Western Canada
1912-WIIL,1912,Wisconsin-Illinois League,Wisconsin-Illinois
1912-WL,1912,Western League,Western
1912-WTSL,1912,Western Tri-State League,Western Tri-State
