league.key,league.year,league.name.full,league.name.short
1950-ALSL,1950,Alabama State League,Alabama State
1950-AAGL,1950,All-American Girls Professional Baseball League,AAGPBL
1950-AA,1950,American Association,American Association
1950-AL,1950,American League,American
1950-APPY,1950,Appalachian League,Appalachian
1950-AZTX,1950,Arizona-Texas League,Arizona-Texas
1950-BSTL,1950,Big State League,Big State
1950-BLRI,1950,Blue Ridge League,Blue Ridge
1950-BORD,1950,Border League,Border
1950-CALL,1950,California League,California
1950-CAML,1950,Canadian-American League,Canadian-American
1950-CAZL,1950,Canal Zone League,Canal Zone
1950-CARL,1950,Carolina League,Carolina
1950-CENL,1950,Central League,Central
1950-COPL,1950,Coastal Plain League,Coastal Plain
1950-COL,1950,Collegiate Teams,Collegiate
1950-COLL,1950,Colonial League,Colonial
1950-CSTL,1950,Cotton States League,Cotton States
1950-CUBL,1950,Cuban League,Cuban
1950-CUWL,1950,Cuban Winter League,Cuban Winter
1950-DOWL,1950,Dominican Winter League,Dominican Winter
1950-ETXL,1950,East Texas League,East Texas
1950-EL,1950,Eastern League,Eastern
1950-EVAN,1950,Evangeline League,Evangeline
1950-FARW,1950,Far West League,Far West
1950-FLIN,1950,Florida International League,Florida International
1950-FLOR,1950,Florida State League,Florida State
1950-GASL,1950,Georgia State League,Georgia State
1950-GAAL,1950,Georgia-Alabama League,Georgia-Alabama
1950-GAFL,1950,Georgia-Florida League,Georgia-Florida
1950-GULF,1950,Gulf Coast League,Gulf Coast
1950-IIIL,1950,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1950-INDN,1950,Independent Negro,Independent Negro
1950-IL,1950,International League,International
1950-ISLG,1950,Interstate League,Interstate
1950-JPCL,1950,Japan Central League,Japan Central
1950-JPPL,1950,Japan Pacific League,Japan Pacific
1950-KOML,1950,Kansas-Oklahoma-Missouri League,Kansas-Oklahoma-Missouri
1950-KITL,1950,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1950-LONG,1950,Longhorn League,Longhorn
1950-MDAK,1950,Manitoba-Dakota League,Manitoba-Dakota
1950-MEX,1950,Mexican League,Mexican
1950-MXPW,1950,Mexican Pacific Winter League,Mexican Pacific Winter
1950-MATL,1950,Middle Atlantic League,Middle Atlantic
1950-MSOH,1950,Mississippi-Ohio Valley League,Mississippi-Ohio Valley
1950-MTSS,1950,Mountain States League,Mountain States
1950-NL,1950,National League,National
1950-NAL,1950,Negro American League,Negro American
1950-NATL,1950,North Atlantic League,North Atlantic
1950-NCSL,1950,North Carolina State League,North Carolina State
1950-NORL,1950,Northern League,Northern
1950-OHIN,1950,Ohio-Indiana League,Ohio-Indiana
1950-PCL,1950,Pacific Coast League,Pacific Coast
1950-PNWL,1950,Panama Winter League,Panama Winter
1950-PONY,1950,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1950-PIED,1950,Piedmont League,Piedmont
1950-PION,1950,Pioneer League,Pioneer
1950-PROV,1950,Provincial League,Provincial
1950-PRWL,1950,Puerto Rican Winter League,Puerto Rican Winter
1950-QUPL,1950,Quebec Provincial League,Quebec Provincial
1950-RGVL,1950,Rio Grande Valley League,Rio Grande Valley
1950-SOSL,1950,Sooner State League,Sooner State
1950-SALL,1950,South Atlantic League,South Atlantic
1950-SEAL,1950,Southeastern League,Southeastern
1950-SOUA,1950,Southern Association,Southern Association
1950-SUSE,1950,Sunset League,Sunset
1950-TL,1950,Texas League,Texas
1950-TOBS,1950,Tobacco State League,Tobacco State
1950-TRIS,1950,Tri-State League,Tri-State
1950-VEWL,1950,Venezuelan Winter League,Venezuelan Winter
1950-VIRL,1950,Virginia League,Virginia
1950-WTNM,1950,West Texas-New Mexico League,West Texas-New Mexico
1950-WA,1950,Western Association,Western Association
1950-WCAR,1950,Western Carolina League,Western Carolina
1950-WINT,1950,Western International League,Western International
1950-WL,1950,Western League,Western
1950-WISL,1950,Wisconsin State League,Wisconsin State
