league.key,league.year,league.name.full,league.name.short
1883-AA,1883,American Association,American Association
1883-CALL,1883,California League,California
1883-CASL,1883,California State League,California State
1883-COL,1883,Collegiate Teams,Collegiate
1883-CUBL,1883,Cuban League,Cuban
1883-CUWL,1883,Cuban Winter League,Cuban Winter
1883-INDP,1883,Independent,Independent
1883-ISAS,1883,Interstate Association,Interstate Association
1883-NL,1883,National League,National
1883-NWES,1883,Northwestern League,Northwestern
1883-WISL,1883,Western Interstate League,Western Interstate
