league.key,league.year,league.name.full,league.name.short
1884-AA,1884,American Association,American Association
1884-CALL,1884,California League,California
1884-COL,1884,Collegiate Teams,Collegiate
1884-CTST,1884,Connecticut State League,Connecticut State
1884-CUBL,1884,Cuban League,Cuban
1884-CUWL,1884,Cuban Winter League,Cuban Winter
1884-EL,1884,Eastern League,Eastern
1884-ENEL,1884,Eastern New England League,Eastern New England
1884-GASL,1884,Georgia State League,Georgia State
1884-ISAS,1884,Interstate Association,Interstate Association
1884-IAOA,1884,Iron & Oil Association,Iron & Oil Association
1884-KEYA,1884,Keystone Association,Keystone Association
1884-MASA,1884,Massachusetts State Association,Massachusetts State Association
1884-NL,1884,National League,National
1884-NYSL,1884,New York State League,New York State
1884-NWES,1884,Northwestern League,Northwestern
1884-OHSL,1884,Ohio State League,Ohio State
1884-ONTL,1884,Ontario League,Ontario
1884-RIAS,1884,Rhode Island Association,Rhode Island Association
1884-TL,1884,Texas League,Texas
1884-UA,1884,Union Association,Union Association
1884-WONT,1884,Western Ontario League,Western Ontario
