league.key,league.year,league.name.full,league.name.short
1948-ALSL,1948,Alabama State League,Alabama State
1948-AAGL,1948,All-American Girls Professional Baseball League,AAGPBL
1948-AA,1948,American Association,American Association
1948-AL,1948,American League,American
1948-APPY,1948,Appalachian League,Appalachian
1948-AZTX,1948,Arizona-Texas League,Arizona-Texas
1948-BSTL,1948,Big State League,Big State
1948-BLRI,1948,Blue Ridge League,Blue Ridge
1948-BORD,1948,Border League,Border
1948-CALL,1948,California League,California
1948-CAML,1948,Canadian-American League,Canadian-American
1948-CAZL,1948,Canal Zone League,Canal Zone
1948-CARL,1948,Carolina League,Carolina
1948-CENA,1948,Central Association,Central Association
1948-CENL,1948,Central League,Central
1948-COPL,1948,Coastal Plain League,Coastal Plain
1948-COL,1948,Collegiate Teams,Collegiate
1948-COLL,1948,Colonial League,Colonial
1948-CSTL,1948,Cotton States League,Cotton States
1948-CUBL,1948,Cuban League,Cuban
1948-CUWL,1948,Cuban Winter League,Cuban Winter
1948-EL,1948,Eastern League,Eastern
1948-ESHL,1948,Eastern Shore League,Eastern Shore
1948-EVAN,1948,Evangeline League,Evangeline
1948-FARW,1948,Far West League,Far West
1948-FLIN,1948,Florida International League,Florida International
1948-FLOR,1948,Florida State League,Florida State
1948-GASL,1948,Georgia State League,Georgia State
1948-GAAL,1948,Georgia-Alabama League,Georgia-Alabama
1948-GAFL,1948,Georgia-Florida League,Georgia-Florida
1948-ILSL,1948,Illinois State League,Illinois State
1948-IIIL,1948,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1948-INDN,1948,Independent Negro,Independent Negro
1948-IL,1948,International League,International
1948-ISLG,1948,Interstate League,Interstate
1948-JPBL,1948,Japanese Baseball League,Japanese
1948-KOML,1948,Kansas-Oklahoma-Missouri League,Kansas-Oklahoma-Missouri
1948-KITL,1948,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1948-LONE,1948,Lone Star League,Lone Star
1948-LONG,1948,Longhorn League,Longhorn
1948-MEX,1948,Mexican League,Mexican
1948-MXPW,1948,Mexican Pacific Winter League,Mexican Pacific Winter
1948-MATL,1948,Middle Atlantic League,Middle Atlantic
1948-MTSS,1948,Mountain States League,Mountain States
1948-NL,1948,National League,National
1948-NAL,1948,Negro American League,Negro American
1948-NNL,1948,Negro National League,Negro National
1948-NENL,1948,New England League,New England
1948-NATL,1948,North Atlantic League,North Atlantic
1948-NCSL,1948,North Carolina State League,North Carolina State
1948-NORL,1948,Northern League,Northern
1948-OHIN,1948,Ohio-Indiana League,Ohio-Indiana
1948-PCL,1948,Pacific Coast League,Pacific Coast
1948-PNWL,1948,Panama Winter League,Panama Winter
1948-PONY,1948,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1948-PIED,1948,Piedmont League,Piedmont
1948-PION,1948,Pioneer League,Pioneer
1948-PROV,1948,Provincial League,Provincial
1948-PRWL,1948,Puerto Rican Winter League,Puerto Rican Winter
1948-QUPL,1948,Quebec Provincial League,Quebec Provincial
1948-SOSL,1948,Sooner State League,Sooner State
1948-SALL,1948,South Atlantic League,South Atlantic
1948-SEAL,1948,Southeastern League,Southeastern
1948-SOUA,1948,Southern Association,Southern Association
1948-SUSE,1948,Sunset League,Sunset
1948-TL,1948,Texas League,Texas
1948-TOBS,1948,Tobacco State League,Tobacco State
1948-TRIS,1948,Tri-State League,Tri-State
1948-VEWL,1948,Venezuelan Winter League,Venezuelan Winter
1948-VIRL,1948,Virginia League,Virginia
1948-WTNM,1948,West Texas-New Mexico League,West Texas-New Mexico
1948-WA,1948,Western Association,Western Association
1948-WCAR,1948,Western Carolina League,Western Carolina
1948-WINT,1948,Western International League,Western International
1948-WL,1948,Western League,Western
1948-WISL,1948,Wisconsin State League,Wisconsin State
