league.key,league.year,league.name.full,league.name.short
1951-ALFL,1951,Alabama-Florida League,Alabama-Florida
1951-AAGL,1951,All-American Girls Professional Baseball League,AAGPBL
1951-AA,1951,American Association,American Association
1951-AL,1951,American League,American
1951-APPY,1951,Appalachian League,Appalachian
1951-BSTL,1951,Big State League,Big State
1951-BORD,1951,Border League,Border
1951-CALL,1951,California League,California
1951-CAML,1951,Canadian-American League,Canadian-American
1951-CARL,1951,Carolina League,Carolina
1951-CENL,1951,Central League,Central
1951-COPL,1951,Coastal Plain League,Coastal Plain
1951-COL,1951,Collegiate Teams,Collegiate
1951-CSTL,1951,Cotton States League,Cotton States
1951-CUBL,1951,Cuban League,Cuban
1951-CUWL,1951,Cuban Winter League,Cuban Winter
1951-DOWL,1951,Dominican Winter League,Dominican Winter
1951-EL,1951,Eastern League,Eastern
1951-EVAN,1951,Evangeline League,Evangeline
1951-FARW,1951,Far West League,Far West
1951-FLIN,1951,Florida International League,Florida International
1951-FLOR,1951,Florida State League,Florida State
1951-GASL,1951,Georgia State League,Georgia State
1951-GAAL,1951,Georgia-Alabama League,Georgia-Alabama
1951-GAFL,1951,Georgia-Florida League,Georgia-Florida
1951-GULF,1951,Gulf Coast League,Gulf Coast
1951-IIIL,1951,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1951-IL,1951,International League,International
1951-ISLG,1951,Interstate League,Interstate
1951-JPCL,1951,Japan Central League,Japan Central
1951-JPPL,1951,Japan Pacific League,Japan Pacific
1951-KOML,1951,Kansas-Oklahoma-Missouri League,Kansas-Oklahoma-Missouri
1951-KITL,1951,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1951-LONG,1951,Longhorn League,Longhorn
1951-MDAK,1951,Manitoba-Dakota League,Manitoba-Dakota
1951-MEX,1951,Mexican League,Mexican
1951-MPCL,1951,Mexican Pacific Coast League,Mexican Pacific Coast
1951-MXPW,1951,Mexican Pacific Winter League,Mexican Pacific Winter
1951-MATL,1951,Middle Atlantic League,Middle Atlantic
1951-MSOH,1951,Mississippi-Ohio Valley League,Mississippi-Ohio Valley
1951-MTSS,1951,Mountain States League,Mountain States
1951-NL,1951,National League,National
1951-NAL,1951,Negro American League,Negro American
1951-NCSL,1951,North Carolina State League,North Carolina State
1951-NORL,1951,Northern League,Northern
1951-OHIN,1951,Ohio-Indiana League,Ohio-Indiana
1951-PCL,1951,Pacific Coast League,Pacific Coast
1951-PNWL,1951,Panama Winter League,Panama Winter
1951-PONY,1951,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1951-PIED,1951,Piedmont League,Piedmont
1951-PION,1951,Pioneer League,Pioneer
1951-PROV,1951,Provincial League,Provincial
1951-PRWL,1951,Puerto Rican Winter League,Puerto Rican Winter
1951-QUPL,1951,Quebec Provincial League,Quebec Provincial
1951-SOSL,1951,Sooner State League,Sooner State
1951-SALL,1951,South Atlantic League,South Atlantic
1951-SOUA,1951,Southern Association,Southern Association
1951-SWIL,1951,Southwest International League,Southwest International
1951-TL,1951,Texas League,Texas
1951-TRIS,1951,Tri-State League,Tri-State
1951-VEWL,1951,Venezuelan Winter League,Venezuelan Winter
1951-VIRL,1951,Virginia League,Virginia
1951-WTNM,1951,West Texas-New Mexico League,West Texas-New Mexico
1951-WA,1951,Western Association,Western Association
1951-WCAN,1951,Western Canada League,Western Canada
1951-WCAR,1951,Western Carolina League,Western Carolina
1951-WINT,1951,Western International League,Western International
1951-WL,1951,Western League,Western
1951-WISL,1951,Wisconsin State League,Wisconsin State
