league.key,league.year,league.name.full,league.name.short
1931-AA,1931,American Association,American Association
1931-AL,1931,American League,American
1931-ANL,1931,American Negro League,American Negro
1931-AZTX,1931,Arizona-Texas League,Arizona-Texas
1931-CAWL,1931,California Winter League,California Winter
1931-COL,1931,Collegiate Teams,Collegiate
1931-CSTL,1931,Cotton States League,Cotton States
1931-CUBL,1931,Cuban League,Cuban
1931-CUWL,1931,Cuban Winter League,Cuban Winter
1931-ETXL,1931,East Texas League,East Texas
1931-EL,1931,Eastern League,Eastern
1931-IIIL,1931,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1931-INDN,1931,Independent Negro,Independent Negro
1931-IL,1931,International League,International
1931-MEX,1931,Mexican League,Mexican
1931-MATL,1931,Middle Atlantic League,Middle Atlantic
1931-MSVL,1931,Mississippi Valley League,Mississippi Valley
1931-NL,1931,National League,National
1931-NESL,1931,Nebraska State League,Nebraska State
1931-NNL,1931,Negro National League,Negro National
1931-NSL,1931,Negro Southern League,Negro Southern
1931-NYPL,1931,New York-Pennsylvania League,New York-Pennsylvania
1931-PCL,1931,Pacific Coast League,Pacific Coast
1931-PALM,1931,Palmetto League,Palmetto
1931-PIED,1931,Piedmont League,Piedmont
1931-RGVL,1931,Rio Grande Valley League,Rio Grande Valley
1931-SOUA,1931,Southern Association,Southern Association
1931-TL,1931,Texas League,Texas
1931-TXNL,1931,Texas Negro League,Texas Negro
1931-TXLA,1931,Texas-Louisiana League,Texas-Louisiana
1931-WA,1931,Western Association,Western Association
1931-WL,1931,Western League,Western
1931-WISL,1931,Wisconsin State League,Wisconsin State
