league.key,league.year,league.name.full,league.name.short
1918-AA,1918,American Association,American Association
1918-AL,1918,American League,American
1918-BLRI,1918,Blue Ridge League,Blue Ridge
1918-CAWL,1918,California Winter League,California Winter
1918-COL,1918,Collegiate Teams,Collegiate
1918-CUBL,1918,Cuban League,Cuban
1918-CUWL,1918,Cuban Winter League,Cuban Winter
1918-EL,1918,Eastern League,Eastern
1918-IL,1918,International League,International
1918-INDN,1918,Independent Negro,Independent Negro
1918-NL,1918,National League,National
1918-PCIL,1918,Pacific Coast International League,Pacific Coast International
1918-PCL,1918,Pacific Coast League,Pacific Coast
1918-SFSL,1918,San Francisco Shipbuilders League,San Francisco Shipbuilders
1918-SOUA,1918,Southern Association,Southern Association
1918-TL,1918,Texas League,Texas
1918-VIRL,1918,Virginia League,Virginia
1918-WL,1918,Western League,Western
