league.key,league.year,league.name.full,league.name.short
1891-AA,1891,American Association,American Association
1891-BHIL,1891,Black Hills League,Black Hills
1891-CALL,1891,California League,California
1891-CNJL,1891,Central New Jersey League,Central New Jersey
1891-CHCL,1891,Chicago City League,Chicago City
1891-COL,1891,Collegiate Teams,Collegiate
1891-COSL,1891,Colorado State League,Colorado State
1891-CTST,1891,Connecticut State League,Connecticut State
1891-CUBL,1891,Cuban League,Cuban
1891-CUWL,1891,Cuban Winter League,Cuban Winter
1891-EASA,1891,Eastern Association,Eastern Association
1891-ILIA,1891,Illinois-Iowa League,Illinois-Iowa
1891-INDP,1891,Independent,Independent
1891-ISLG,1891,Interstate League,Interstate
1891-MICH,1891,Michigan State League,Michigan State
1891-MTSL,1891,Montana State League,Montana State
1891-NL,1891,National League,National
1891-NENL,1891,New England League,New England
1891-NYPL,1891,New York-Pennsylvania League,New York-Pennsylvania
1891-NWES,1891,Northwestern League,Northwestern
1891-NWES,1891,Northwestern League (Short Season),Northwestern (Short Season)
1891-OHVL,1891,Ohio Valley League,Ohio Valley
1891-PISL,1891,Pacific Interstate League,Pacific Interstate
1891-PNWE,1891,Pacific Northwestern League,Pacific Northwestern
1891-PASL,1891,Pennsylvania State League,Pennsylvania State
1891-PUDG,1891,Puget Sound League,Puget Sound
1891-RRVL,1891,Red River Valley League,Red River Valley
1891-RILG,1891,Rhode Island League,Rhode Island
1891-SWLG,1891,Southwest League,Southwest
1891-TRIS,1891,Tri-State League,Tri-State
1891-UPPL,1891,Upper Peninsula League,Upper Peninsula
1891-WA,1891,Western Association,Western Association
1891-WNYP,1891,Western New York and Pennsylvania League,Western New York and Pennsylvania
1891-WISL,1891,Wisconsin State League,Wisconsin State
