league.key,league.year,league.name.full,league.name.short
1900-AL,1900,American League,American
1900-ATLL,1900,Atlantic League,Atlantic
1900-CALL,1900,California League,California
1900-CAWL,1900,California Winter League,California Winter
1900-CENL,1900,Central League,Central
1900-COL,1900,Collegiate Teams,Collegiate
1900-CTST,1900,Connecticut State League,Connecticut State
1900-CUBL,1900,Cuban League,Cuban
1900-CUWL,1900,Cuban Winter League,Cuban Winter
1900-EL,1900,Eastern League,Eastern
1900-IL,1900,International League,International
1900-INSL,1900,Indiana State League,Indiana State
1900-ISLG,1900,Interstate League,Interstate
1900-MTSL,1900,Montana State League,Montana State
1900-NCAS,1900,North Carolina Association,North Carolina Association
1900-NL,1900,National League,National
1900-NNYL,1900,Northern New York League,Northern New York
1900-NYSL,1900,New York State League,New York State
1900-PROV,1900,Provincial League,Provincial
1900-SCAL,1900,Southern California League,Southern California
1900-UTID,1900,Utah-Idaho League,Utah-Idaho
1900-VIRL,1900,Virginia League,Virginia
1900-WL,1900,Western League,Western
