league.key,league.year,league.name.full,league.name.short
1955-ALFL,1955,Alabama-Florida League,Alabama-Florida
1955-AA,1955,American Association,American Association
1955-AL,1955,American League,American
1955-APPY,1955,Appalachian League,Appalachian
1955-AZMX,1955,Arizona-Mexico League,Arizona-Mexico
1955-BSTL,1955,Big State League,Big State
1955-CALL,1955,California League,California
1955-CARL,1955,Carolina League,Carolina
1955-CMXL,1955,Central Mexican League,Central Mexican
1955-COL,1955,Collegiate Teams,Collegiate
1955-COLW,1955,Colombian Winter League,Colombian Winter
1955-CSTL,1955,Cotton States League,Cotton States
1955-CUBL,1955,Cuban League,Cuban
1955-CUWL,1955,Cuban Winter League,Cuban Winter
1955-DOWL,1955,Dominican Winter League,Dominican Winter
1955-EL,1955,Eastern League,Eastern
1955-EVAN,1955,Evangeline League,Evangeline
1955-FLOR,1955,Florida State League,Florida State
1955-GASL,1955,Georgia State League,Georgia State
1955-GAFL,1955,Georgia-Florida League,Georgia-Florida
1955-IIIL,1955,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1955-IL,1955,International League,International
1955-JPCL,1955,Japan Central League,Japan Central
1955-JPPL,1955,Japan Pacific League,Japan Pacific
1955-KITL,1955,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1955-LONG,1955,Longhorn League,Longhorn
1955-MDAK,1955,Manitoba-Dakota League,Manitoba-Dakota
1955-MEX,1955,Mexican League,Mexican
1955-MPCL,1955,Mexican Pacific Coast League,Mexican Pacific Coast
1955-MXPW,1955,Mexican Pacific Winter League,Mexican Pacific Winter
1955-MSOH,1955,Mississippi-Ohio Valley League,Mississippi-Ohio Valley
1955-NL,1955,National League,National
1955-NAL,1955,Negro American League,Negro American
1955-NORL,1955,Northern League,Northern
1955-NORW,1955,Northwest League,Northwest
1955-OCCL,1955,Occidental Winter League,Occidental Winter
1955-PCL,1955,Pacific Coast League,Pacific Coast
1955-PNWL,1955,Panama Winter League,Panama Winter
1955-PONY,1955,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1955-PIED,1955,Piedmont League,Piedmont
1955-PION,1955,Pioneer League,Pioneer
1955-PROV,1955,Provincial League,Provincial
1955-PRWL,1955,Puerto Rican Winter League,Puerto Rican Winter
1955-QUPL,1955,Quebec Provincial League,Quebec Provincial
1955-SOSL,1955,Sooner State League,Sooner State
1955-SALL,1955,South Atlantic League,South Atlantic
1955-SOUA,1955,Southern Association,Southern Association
1955-TL,1955,Texas League,Texas
1955-TRIS,1955,Tri-State League,Tri-State
1955-VEWL,1955,Venezuelan Winter League,Venezuelan Winter
1955-VCWL,1955,Veracruz Winter League,Veracruz Winter
1955-WTNM,1955,West Texas-New Mexico League,West Texas-New Mexico
1955-WCAN,1955,Western Canada League,Western Canada
1955-WL,1955,Western League,Western
