league.key,league.year,league.name.full,league.name.short
1893-CALL,1893,California League,California
1893-CANL,1893,Canadian League,Canadian
1893-CHCL,1893,Chicago City League,Chicago City
1893-COL,1893,Collegiate Teams,Collegiate
1893-CUBL,1893,Cuban League,Cuban
1893-CUWL,1893,Cuban Winter League,Cuban Winter
1893-EL,1893,Eastern League,Eastern
1893-MICH,1893,Michigan State League,Michigan State
1893-MSSL,1893,Mississippi State League,Mississippi State
1893-NL,1893,National League,National
1893-NENL,1893,New England League,New England
1893-OHSL,1893,Ohio State League,Ohio State
1893-OHMI,1893,Ohio-Michigan League,Ohio-Michigan
1893-ORSL,1893,Oregon State League,Oregon State
1893-PASL,1893,Pennsylvania State League,Pennsylvania State
1893-SOUA,1893,Southern Association,Southern Association
1893-SWLG,1893,Southwestern League,Southwestern
1893-WA,1893,Western Association,Western Association
1893-WL,1893,Western League,Western
