league.key,league.year,league.name.full,league.name.short
1953-ALFL,1953,Alabama-Florida League,Alabama-Florida
1953-AAGL,1953,All-American Girls Professional Baseball League,AAGPBL
1953-AA,1953,American Association,American Association
1953-AL,1953,American League,American
1953-APPY,1953,Appalachian League,Appalachian
1953-AZTX,1953,Arizona-Texas League,Arizona-Texas
1953-BSTL,1953,Big State League,Big State
1953-CALL,1953,California League,California
1953-CARL,1953,Carolina League,Carolina
1953-COL,1953,Collegiate Teams,Collegiate
1953-COLW,1953,Colombian Winter League,Colombian Winter
1953-CSTL,1953,Cotton States League,Cotton States
1953-CUBL,1953,Cuban League,Cuban
1953-CUWL,1953,Cuban Winter League,Cuban Winter
1953-DOWL,1953,Dominican Winter League,Dominican Winter
1953-EL,1953,Eastern League,Eastern
1953-EVAN,1953,Evangeline League,Evangeline
1953-FLIN,1953,Florida International League,Florida International
1953-FLOR,1953,Florida State League,Florida State
1953-GASL,1953,Georgia State League,Georgia State
1953-GAFL,1953,Georgia-Florida League,Georgia-Florida
1953-GULF,1953,Gulf Coast League,Gulf Coast
1953-IIIL,1953,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1953-IL,1953,International League,International
1953-JPCL,1953,Japan Central League,Japan Central
1953-JPPL,1953,Japan Pacific League,Japan Pacific
1953-KITL,1953,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1953-LONG,1953,Longhorn League,Longhorn
1953-MDAK,1953,Manitoba-Dakota League,Manitoba-Dakota
1953-MEX,1953,Mexican League,Mexican
1953-MPCL,1953,Mexican Pacific Coast League,Mexican Pacific Coast
1953-MXPW,1953,Mexican Pacific Winter League,Mexican Pacific Winter
1953-MSOH,1953,Mississippi-Ohio Valley League,Mississippi-Ohio Valley
1953-MTSS,1953,Mountain States League,Mountain States
1953-NL,1953,National League,National
1953-NAL,1953,Negro American League,Negro American
1953-NORL,1953,Northern League,Northern
1953-PCL,1953,Pacific Coast League,Pacific Coast
1953-PNWL,1953,Panama Winter League,Panama Winter
1953-PONY,1953,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1953-PIED,1953,Piedmont League,Piedmont
1953-PION,1953,Pioneer League,Pioneer
1953-PROV,1953,Provincial League,Provincial
1953-PRWL,1953,Puerto Rican Winter League,Puerto Rican Winter
1953-QUPL,1953,Quebec Provincial League,Quebec Provincial
1953-SASK,1953,Saskatchewan League,Saskatchewan
1953-SOSL,1953,Sooner State League,Sooner State
1953-SALL,1953,South Atlantic League,South Atlantic
1953-SOUA,1953,Southern Association,Southern Association
1953-TARH,1953,Tar Heel League,Tar Heel
1953-TL,1953,Texas League,Texas
1953-TRIS,1953,Tri-State League,Tri-State
1953-VEWL,1953,Venezuelan Winter League,Venezuelan Winter
1953-VCWL,1953,Veracruz Winter League,Veracruz Winter
1953-WTNM,1953,West Texas-New Mexico League,West Texas-New Mexico
1953-WA,1953,Western Association,Western Association
1953-WINT,1953,Western International League,Western International
1953-WL,1953,Western League,Western
1953-WISL,1953,Wisconsin State League,Wisconsin State
