league.key,league.year,league.name.full,league.name.short
1933-AA,1933,American Association,American Association
1933-AL,1933,American League,American
1933-CAWL,1933,California Winter League,California Winter
1933-COL,1933,Collegiate Teams,Collegiate
1933-CUBL,1933,Cuban League,Cuban
1933-CUWL,1933,Cuban Winter League,Cuban Winter
1933-DIXL,1933,Dixie League,Dixie
1933-INDN,1933,Independent Negro,Independent Negro
1933-IL,1933,International League,International
1933-MEX,1933,Mexican League,Mexican
1933-MATL,1933,Middle Atlantic League,Middle Atlantic
1933-MSVL,1933,Mississippi Valley League,Mississippi Valley
1933-NL,1933,National League,National
1933-NESL,1933,Nebraska State League,Nebraska State
1933-NNL,1933,Negro National League,Negro National
1933-NSL,1933,Negro Southern League,Negro Southern
1933-NENL,1933,New England League,New England
1933-NYPL,1933,New York-Pennsylvania League,New York-Pennsylvania
1933-NORL,1933,Northern League,Northern
1933-PCL,1933,Pacific Coast League,Pacific Coast
1933-PIED,1933,Piedmont League,Piedmont
1933-PRWL,1933,Puerto Rican Winter League,Puerto Rican Winter
1933-SOUA,1933,Southern Association,Southern Association
1933-TL,1933,Texas League,Texas
1933-TONL,1933,Texas-Oklahoma Negro League,Texas-Oklahoma Negro
1933-WL,1933,Western League,Western
1933-WISL,1933,Wisconsin State League,Wisconsin State
