league.key,league.year,league.name.full,league.name.short
1896-ATLL,1896,Atlantic League,Atlantic
1896-BLGR,1896,Blue Grass League,Blue Grass
1896-CALL,1896,California League,California
1896-CANL,1896,Canadian League,Canadian
1896-CCTL,1896,Central Connecticut League,Central Connecticut
1896-CENL,1896,Central League,Central
1896-CPAL,1896,Central Pennsylvania League,Central Pennsylvania
1896-COCH,1896,Cocheco League,Cocheco
1896-COL,1896,Collegiate Teams,Collegiate
1896-COSL,1896,Colorado State League,Colorado State
1896-CUBL,1896,Cuban League,Cuban
1896-CUWL,1896,Cuban Winter League,Cuban Winter
1896-CMVL,1896,Cumberland Valley League,Cumberland Valley
1896-EL,1896,Eastern League,Eastern
1896-ILLL,1896,Illinois League,Illinois
1896-INSL,1896,Indiana State League,Indiana State
1896-IL,1896,International League,International
1896-ISLG,1896,Interstate League,Interstate
1896-KSSL,1896,Kansas State League,Kansas State
1896-KYIN,1896,Kentucky-Indiana League,Kentucky-Indiana
1896-LEVL,1896,Lehigh Valley League,Lehigh Valley
1896-MESL,1896,Maine State League,Maine State
1896-MICH,1896,Michigan State League,Michigan State
1896-MOSL,1896,Missouri State League,Missouri State
1896-NL,1896,National League,National
1896-NAUG,1896,Naugatuck Valley League,Naugatuck Valley
1896-NENL,1896,New England League,New England
1896-PNWL,1896,New Pacific League,New Pacific
1896-NYSL,1896,New York State League,New York State
1896-NEAN,1896,Northeastern League,Northeastern
1896-OHSL,1896,Ohio State League,Ohio State
1896-OHWV,1896,Ohio-West Virginia League,Ohio-West Virginia
1896-PASL,1896,Pennsylvania State League,Pennsylvania State
1896-PENY,1896,Pennyrile League,Pennyrile
1896-SFCL,1896,San Francisco City League,San Francisco City
1896-SJVL,1896,San Joaquin Valley League,San Joaquin Valley
1896-SCHV,1896,Schuykill Valley League,Schuykill Valley
1896-SNJL,1896,South New Jersey League,South New Jersey
1896-SEAL,1896,Southeastern League,Southeastern
1896-SOUA,1896,Southern Association,Southern Association
1896-SILL,1896,Southern Illinois League,Southern Illinois
1896-TEXA,1896,Texas Association,Texas Association
1896-VIRL,1896,Virginia League,Virginia
1896-WA,1896,Western Association,Western Association
1896-WL,1896,Western League,Western
1896-WISL,1896,Wisconsin State League,Wisconsin State
