league.key,league.year,league.name.full,league.name.short
1932-AA,1932,American Association,American Association
1932-AL,1932,American League,American
1932-AZTX,1932,Arizona-Texas League,Arizona-Texas
1932-CAWL,1932,California Winter League,California Winter
1932-CENL,1932,Central League,Central
1932-COL,1932,Collegiate Teams,Collegiate
1932-CSTL,1932,Cotton States League,Cotton States
1932-CUBL,1932,Cuban League,Cuban
1932-CUWL,1932,Cuban Winter League,Cuban Winter
1932-EWL,1932,East-West League,East-West
1932-EL,1932,Eastern League,Eastern
1932-EWIL,1932,Eastern Wisconsin League,Eastern Wisconsin
1932-IIIL,1932,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1932-INDN,1932,Independent Negro,Independent Negro
1932-IL,1932,International League,International
1932-ISLG,1932,Interstate League,Interstate
1932-MEX,1932,Mexican League,Mexican
1932-MATL,1932,Middle Atlantic League,Middle Atlantic
1932-MSVL,1932,Mississippi Valley League,Mississippi Valley
1932-NL,1932,National League,National
1932-NESL,1932,Nebraska State League,Nebraska State
1932-NSL,1932,Negro Southern League,Negro Southern
1932-NYPL,1932,New York-Pennsylvania League,New York-Pennsylvania
1932-PCL,1932,Pacific Coast League,Pacific Coast
1932-PIED,1932,Piedmont League,Piedmont
1932-SEAL,1932,Southeastern League,Southeastern
1932-SOUA,1932,Southern Association,Southern Association
1932-TL,1932,Texas League,Texas
1932-WA,1932,Western Association,Western Association
1932-WL,1932,Western League,Western
1932-WIIL,1932,Wisconsin-Illinois League,Wisconsin-Illinois
