league.key,league.year,league.name.full,league.name.short
1958-ALFL,1958,Alabama-Florida League,Alabama-Florida
1958-AA,1958,American Association,American Association
1958-AL,1958,American League,American
1958-APPY,1958,Appalachian League,Appalachian
1958-AZMX,1958,Arizona-Mexico League,Arizona-Mexico
1958-CALL,1958,California League,California
1958-CARL,1958,Carolina League,Carolina
1958-COL,1958,Collegiate Teams,Collegiate
1958-CUBL,1958,Cuban League,Cuban
1958-CUWL,1958,Cuban Winter League,Cuban Winter
1958-DOWL,1958,Dominican Winter League,Dominican Winter
1958-EL,1958,Eastern League,Eastern
1958-FLIL,1958,Florida Instructional League,Florida Instructional
1958-FLOR,1958,Florida State League,Florida State
1958-GAFL,1958,Georgia-Florida League,Georgia-Florida
1958-IIIL,1958,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1958-IL,1958,International League,International
1958-JPCL,1958,Japan Central League,Japan Central
1958-JPPL,1958,Japan Pacific League,Japan Pacific
1958-MEX,1958,Mexican League,Mexican
1958-MXNW,1958,Mexican Northwest League,Mexican Northwest
1958-MXPW,1958,Mexican Pacific Winter League,Mexican Pacific Winter
1958-MIDW,1958,Midwest League,Midwest
1958-NL,1958,National League,National
1958-NESL,1958,Nebraska State League,Nebraska State
1958-NAL,1958,Negro American League,Negro American
1958-NYPL,1958,New York-Pennsylvania League,New York-Pennsylvania
1958-NICW,1958,Nicaraguan Winter League,Nicaraguan Winter
1958-NORL,1958,Northern League,Northern
1958-NORW,1958,Northwest League,Northwest
1958-OCCL,1958,Occidental Winter League,Occidental Winter
1958-PCL,1958,Pacific Coast League,Pacific Coast
1958-PNWL,1958,Panama Winter League,Panama Winter
1958-PION,1958,Pioneer League,Pioneer
1958-PRWL,1958,Puerto Rican Winter League,Puerto Rican Winter
1958-QUPL,1958,Quebec Provincial League,Quebec Provincial
1958-SOWL,1958,Sonora Winter League,Sonora Winter
1958-SOPH,1958,Sophomore League,Sophomore
1958-SALL,1958,South Atlantic League,South Atlantic
1958-SOUA,1958,Southern Association,Southern Association
1958-TL,1958,Texas League,Texas
1958-VEWL,1958,Venezuelan Winter League,Venezuelan Winter
1958-VCWL,1958,Veracruz Winter League,Veracruz Winter
1958-WCAN,1958,Western Canada League,Western Canada
1958-WL,1958,Western League,Western
