league.key,league.year,league.name.full,league.name.short
1902-AA,1902,American Association,American Association
1902-AL,1902,American League,American
1902-CALL,1902,California League,California
1902-CTST,1902,Connecticut State League,Connecticut State
1902-CSTL,1902,Cotton States League,Cotton States
1902-CUBL,1902,Cuban League,Cuban
1902-CUWL,1902,Cuban Winter League,Cuban Winter
1902-EL,1902,Eastern League,Eastern
1902-IIIL,1902,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1902-IEML,1902,Inland Empire League,Inland Empire
1902-IASD,1902,Iowa-South Dakota League,Iowa-South Dakota
1902-MICH,1902,Michigan State League,Michigan State
1902-MOVL,1902,Missouri Valley League,Missouri Valley
1902-NL,1902,National League,National
1902-NENL,1902,New England League,New England
1902-NYSL,1902,New York State League,New York State
1902-NCLG,1902,North Carolina League,North Carolina
1902-NORL,1902,Northern League,Northern
1902-NMEL,1902,Northern Maine League,Northern Maine
1902-NNYL,1902,Northern New York League,Northern New York
1902-PNWL,1902,Pacific Northwest League,Pacific Northwest
1902-PASL,1902,Pennsylvania State League,Pennsylvania State
1902-SOUA,1902,Southern Association,Southern Association
1902-TL,1902,Texas League,Texas
1902-TXVL,1902,Texas Valley League,Texas Valley
1902-WL,1902,Western League,Western
1902-WISL,1902,Wisconsin State League,Wisconsin State
1902-COL,1902,Collegiate Teams,Collegiate
1902-UTSL,1902,Utah State League,Utah State
