league.key,league.year,league.name.full,league.name.short
1926-AA,1926,American Association,American Association
1926-AL,1926,American League,American
1926-BLRI,1926,Blue Ridge League,Blue Ridge
1926-CAWL,1926,California Winter League,California Winter
1926-CENL,1926,Central League,Central
1926-COL,1926,Collegiate Teams,Collegiate
1926-CSTL,1926,Cotton States League,Cotton States
1926-CUBL,1926,Cuban League,Cuban
1926-CUWL,1926,Cuban Winter League,Cuban Winter
1926-ETXL,1926,East Texas League,East Texas
1926-ECOL,1926,Eastern Colored League,Eastern Colored
1926-EL,1926,Eastern League,Eastern
1926-ESHL,1926,Eastern Shore League,Eastern Shore
1926-FLOR,1926,Florida State League,Florida State
1926-GULF,1926,Gulf Coast League,Gulf Coast
1926-IIIL,1926,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1926-INDN,1926,Independent Negro,Independent Negro
1926-IL,1926,International League,International
1926-MEX,1926,Mexican League,Mexican
1926-MICH,1926,Michigan State League,Michigan State
1926-MION,1926,Michigan-Ontario League,Michigan-Ontario
1926-MATL,1926,Middle Atlantic League,Middle Atlantic
1926-MSVL,1926,Mississippi Valley League,Mississippi Valley
1926-NL,1926,National League,National
1926-NNL,1926,Negro National League,Negro National
1926-NSL,1926,Negro Southern League,Negro Southern
1926-NENL,1926,New England League,New England
1926-NYPL,1926,New York-Pennsylvania League,New York-Pennsylvania
1926-PCL,1926,Pacific Coast League,Pacific Coast
1926-PIED,1926,Piedmont League,Piedmont
1926-SALL,1926,South Atlantic League,South Atlantic
1926-SEAL,1926,Southeastern League,Southeastern
1926-SOUA,1926,Southern Association,Southern Association
1926-SWLG,1926,Southwestern League,Southwestern
1926-TEXA,1926,Texas Association,Texas Association
1926-TL,1926,Texas League,Texas
1926-TXNL,1926,Texas Negro League,Texas Negro
1926-TRIS,1926,Tri-State League,Tri-State
1926-UTID,1926,Utah-Idaho League,Utah-Idaho
1926-VIRL,1926,Virginia League,Virginia
1926-WA,1926,Western Association,Western Association
1926-WL,1926,Western League,Western
1926-WIIL,1926,Wisconsin-Illinois League,Wisconsin-Illinois
