league.key,league.year,league.name.full,league.name.short
1920-AA,1920,American Association,American Association
1920-AL,1920,American League,American
1920-BLRI,1920,Blue Ridge League,Blue Ridge
1920-CAWL,1920,California Winter League,California Winter
1920-CENL,1920,Central League,Central
1920-COL,1920,Collegiate Teams,Collegiate
1920-CUBL,1920,Cuban League,Cuban
1920-CUWL,1920,Cuban Winter League,Cuban Winter
1920-EL,1920,Eastern League,Eastern
1920-FLOR,1920,Florida State League,Florida State
1920-GASL,1920,Georgia State League,Georgia State
1920-IIIL,1920,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1920-INDN,1920,Independent Negro,Independent Negro
1920-IL,1920,International League,International
1920-LASL,1920,Louisiana State League,Louisiana State
1920-MION,1920,Michigan-Ontario League,Michigan-Ontario
1920-NL,1920,National League,National
1920-NNL,1920,Negro National League,Negro National
1920-NSL,1920,Negro Southern League,Negro Southern
1920-PCIL,1920,Pacific Coast International League,Pacific Coast International
1920-PCL,1920,Pacific Coast League,Pacific Coast
1920-PIED,1920,Piedmont League,Piedmont
1920-SALL,1920,South Atlantic League,South Atlantic
1920-SDAK,1920,South Dakota League,South Dakota
1920-SOUA,1920,Southern Association,Southern Association
1920-SNL,1920,Southern Negro League,Southern Negro
1920-TL,1920,Texas League,Texas
1920-VIRL,1920,Virginia League,Virginia
1920-WTXL,1920,West Texas League,West Texas
1920-WA,1920,Western Association,Western Association
1920-WCAN,1920,Western Canada League,Western Canada
1920-WL,1920,Western League,Western
