league.key,league.year,league.name.full,league.name.short
1949-ALSL,1949,Alabama State League,Alabama State
1949-AAGL,1949,All-American Girls Professional Baseball League,AAGPBL
1949-AA,1949,American Association,American Association
1949-AL,1949,American League,American
1949-APPY,1949,Appalachian League,Appalachian
1949-AZTX,1949,Arizona-Texas League,Arizona-Texas
1949-BASA,1949,Baseball Association Of America,Baseball Association Of America
1949-BSTL,1949,Big State League,Big State
1949-BLRI,1949,Blue Ridge League,Blue Ridge
1949-BORD,1949,Border League,Border
1949-CALL,1949,California League,California
1949-CAML,1949,Canadian-American League,Canadian-American
1949-CAZL,1949,Canal Zone League,Canal Zone
1949-CARL,1949,Carolina League,Carolina
1949-CENA,1949,Central Association,Central Association
1949-CENL,1949,Central League,Central
1949-COPL,1949,Coastal Plain League,Coastal Plain
1949-COL,1949,Collegiate Teams,Collegiate
1949-COLL,1949,Colonial League,Colonial
1949-CSTL,1949,Cotton States League,Cotton States
1949-CUBL,1949,Cuban League,Cuban
1949-CUWL,1949,Cuban Winter League,Cuban Winter
1949-ETXL,1949,East Texas League,East Texas
1949-EL,1949,Eastern League,Eastern
1949-ESHL,1949,Eastern Shore League,Eastern Shore
1949-EVAN,1949,Evangeline League,Evangeline
1949-FARW,1949,Far West League,Far West
1949-FLIN,1949,Florida International League,Florida International
1949-FLOR,1949,Florida State League,Florida State
1949-GASL,1949,Georgia State League,Georgia State
1949-GAAL,1949,Georgia-Alabama League,Georgia-Alabama
1949-GAFL,1949,Georgia-Florida League,Georgia-Florida
1949-IIIL,1949,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1949-INDN,1949,Independent Negro,Independent Negro
1949-IL,1949,International League,International
1949-ISLG,1949,Interstate League,Interstate
1949-JPBL,1949,Japanese Baseball League,Japanese
1949-KOML,1949,Kansas-Oklahoma-Missouri League,Kansas-Oklahoma-Missouri
1949-KITL,1949,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1949-LONG,1949,Longhorn League,Longhorn
1949-MBSL,1949,Manitoba Senior League,Manitoba Senior
1949-MEX,1949,Mexican League,Mexican
1949-MXPW,1949,Mexican Pacific Winter League,Mexican Pacific Winter
1949-MATL,1949,Middle Atlantic League,Middle Atlantic
1949-MSOH,1949,Mississippi-Ohio Valley League,Mississippi-Ohio Valley
1949-MTSS,1949,Mountain States League,Mountain States
1949-NL,1949,National League,National
1949-NAL,1949,Negro American League,Negro American
1949-NENL,1949,New England League,New England
1949-NATL,1949,North Atlantic League,North Atlantic
1949-NCSL,1949,North Carolina State League,North Carolina State
1949-NORL,1949,Northern League,Northern
1949-OHVL,1949,Ohio Valley League,Ohio Valley
1949-OHIN,1949,Ohio-Indiana League,Ohio-Indiana
1949-PCL,1949,Pacific Coast League,Pacific Coast
1949-PNWL,1949,Panama Winter League,Panama Winter
1949-PONY,1949,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1949-PIED,1949,Piedmont League,Piedmont
1949-PION,1949,Pioneer League,Pioneer
1949-PROV,1949,Provincial League,Provincial
1949-PRWL,1949,Puerto Rican Winter League,Puerto Rican Winter
1949-QUPL,1949,Quebec Provincial League,Quebec Provincial
1949-RGVL,1949,Rio Grande Valley League,Rio Grande Valley
1949-SOSL,1949,Sooner State League,Sooner State
1949-SALL,1949,South Atlantic League,South Atlantic
1949-SEAL,1949,Southeastern League,Southeastern
1949-SOUA,1949,Southern Association,Southern Association
1949-SUSE,1949,Sunset League,Sunset
1949-TL,1949,Texas League,Texas
1949-TOBS,1949,Tobacco State League,Tobacco State
1949-TRIS,1949,Tri-State League,Tri-State
1949-VEWL,1949,Venezuelan Winter League,Venezuelan Winter
1949-VIRL,1949,Virginia League,Virginia
1949-WTNM,1949,West Texas-New Mexico League,West Texas-New Mexico
1949-WA,1949,Western Association,Western Association
1949-WCAR,1949,Western Carolina League,Western Carolina
1949-WINT,1949,Western International League,Western International
1949-WL,1949,Western League,Western
1949-WISL,1949,Wisconsin State League,Wisconsin State
