league.key,league.year,league.name.full,league.name.short
1937-ALFL,1937,Alabama-Florida League,Alabama-Florida
1937-AA,1937,American Association,American Association
1937-AL,1937,American League,American
1937-APPY,1937,Appalachian League,Appalachian
1937-AZTX,1937,Arizona-Texas League,Arizona-Texas
1937-ARMO,1937,Arkansas-Missouri League,Arkansas-Missouri
1937-BIST,1937,Bi-State League,Bi-State
1937-CAWL,1937,California Winter League,California Winter
1937-CAML,1937,Canadian-American League,Canadian-American
1937-CBCL,1937,Cape Breton Colliery League,Cape Breton Colliery
1937-CARB,1937,Carolina Baseball League,Carolina Baseball
1937-COPL,1937,Coastal Plain League,Coastal Plain
1937-COL,1937,Collegiate Teams,Collegiate
1937-CSTL,1937,Cotton States League,Cotton States
1937-CUBL,1937,Cuban League,Cuban
1937-CUWL,1937,Cuban Winter League,Cuban Winter
1937-DOWL,1937,Dominican Winter League,Dominican Winter
1937-ETXL,1937,East Texas League,East Texas
1937-ESHL,1937,Eastern Shore League,Eastern Shore
1937-EVAN,1937,Evangeline League,Evangeline
1937-FLOR,1937,Florida State League,Florida State
1937-GAFL,1937,Georgia-Florida League,Georgia-Florida
1937-IIIL,1937,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1937-INDN,1937,Independent Negro,Independent Negro
1937-IL,1937,International League,International
1937-JPBF,1937,Japanese Baseball League (Fall),Japanese (Fall)
1937-JPBS,1937,Japanese Baseball League (Spring),Japanese (Spring)
1937-KITL,1937,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1937-MEX,1937,Mexican League,Mexican
1937-MATL,1937,Middle Atlantic League,Middle Atlantic
1937-MTNS,1937,Mountain State League,Mountain State
1937-NL,1937,National League,National
1937-NESL,1937,Nebraska State League,Nebraska State
1937-NAL,1937,Negro American League,Negro American
1937-NNL,1937,Negro National League,Negro National
1937-NSL,1937,Negro Southern League,Negro Southern
1937-NYPL,1937,New York-Pennsylvania League,New York-Pennsylvania
1937-NCSL,1937,North Carolina State League,North Carolina State
1937-NEAR,1937,Northeast Arkansas League,Northeast Arkansas
1937-NORL,1937,Northern League,Northern
1937-OHSL,1937,Ohio State League,Ohio State
1937-PCL,1937,Pacific Coast League,Pacific Coast
1937-PASA,1937,Pennsylvania State Association,Pennsylvania State Association
1937-PIED,1937,Piedmont League,Piedmont
1937-QUPL,1937,Quebec Provincial League,Quebec Provincial
1937-SALL,1937,South Atlantic League,South Atlantic
1937-SEAL,1937,Southeastern League,Southeastern
1937-SOUA,1937,Southern Association,Southern Association
1937-TL,1937,Texas League,Texas
1937-WTNM,1937,West Texas-New Mexico League,West Texas-New Mexico
1937-WA,1937,Western Association,Western Association
1937-WINT,1937,Western International League,Western International
1937-WL,1937,Western League,Western
