league.key,league.year,league.name.full,league.name.short
1936-ALFL,1936,Alabama-Florida League,Alabama-Florida
1936-ALMS,1936,Alabama-Mississippi League,Alabama-Mississippi
1936-AA,1936,American Association,American Association
1936-AL,1936,American League,American
1936-ARMO,1936,Arkansas-Missouri League,Arkansas-Missouri
1936-BIST,1936,Bi-State League,Bi-State
1936-CAWL,1936,California Winter League,California Winter
1936-CAML,1936,Canadian-American League,Canadian-American
1936-CARB,1936,Carolina Baseball League,Carolina Baseball
1936-COPL,1936,Coastal Plain League,Coastal Plain
1936-COL,1936,Collegiate Teams,Collegiate
1936-CSTL,1936,Cotton States League,Cotton States
1936-CUBL,1936,Cuban League,Cuban
1936-CUWL,1936,Cuban Winter League,Cuban Winter
1936-ETXL,1936,East Texas League,East Texas
1936-EVAN,1936,Evangeline League,Evangeline
1936-FLOR,1936,Florida State League,Florida State
1936-GAFL,1936,Georgia-Florida League,Georgia-Florida
1936-INDN,1936,Independent Negro,Independent Negro
1936-IL,1936,International League,International
1936-JPBF,1936,Japanese Baseball League (Fall),Japanese (Fall)
1936-JPBS,1936,Japanese Baseball League (Spring),Japanese (Spring)
1936-KITL,1936,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1936-MEX,1936,Mexican League,Mexican
1936-MATL,1936,Middle Atlantic League,Middle Atlantic
1936-NL,1936,National League,National
1936-NESL,1936,Nebraska State League,Nebraska State
1936-NNL,1936,Negro National League,Negro National
1936-NSL,1936,Negro Southern League,Negro Southern
1936-NYPL,1936,New York-Pennsylvania League,New York-Pennsylvania
1936-NEAR,1936,Northeast Arkansas League,Northeast Arkansas
1936-NORL,1936,Northern League,Northern
1936-OHSL,1936,Ohio State League,Ohio State
1936-OKSL,1936,Oklahoma State League,Oklahoma State
1936-PCL,1936,Pacific Coast League,Pacific Coast
1936-PASA,1936,Pennsylvania State Association,Pennsylvania State Association
1936-PIED,1936,Piedmont League,Piedmont
1936-QUPL,1936,Quebec Provincial League,Quebec Provincial
1936-SALL,1936,South Atlantic League,South Atlantic
1936-SOUA,1936,Southern Association,Southern Association
1936-TL,1936,Texas League,Texas
1936-WA,1936,Western Association,Western Association
1936-WL,1936,Western League,Western
1936-WISL,1936,Wisconsin State League,Wisconsin State
