league.key,league.year,league.name.full,league.name.short
1911-AA,1911,American Association,American Association
1911-AL,1911,American League,American
1911-APPY,1911,Appalachian League,Appalachian
1911-BLGR,1911,Blue Grass League,Blue Grass
1911-CANL,1911,Canadian League,Canadian
1911-CARA,1911,Carolina Association,Carolina Association
1911-CAWL,1911,California Winter League,California Winter
1911-CCAL,1911,Central California League,Central California
1911-CENA,1911,Central Association,Central Association
1911-CENL,1911,Central League,Central
1911-CKSL,1911,Central Kansas League,Central Kansas
1911-CMLS,1911,Cuban-American Major League Clubs Series,Cuban-Major Series
1911-COL,1911,Collegiate Teams,Collegiate
1911-CSTL,1911,Cotton States League,Cotton States
1911-CTST,1911,Connecticut State League,Connecticut State
1911-CUBL,1911,Cuban League,Cuban
1911-CUGL,1911,Cuban General League,Cuban General
1911-CUNL,1911,Cuban National League,Cuban National
1911-CUWL,1911,Cuban Winter League,Cuban Winter
1911-ECAR,1911,Eastern Carolina League,Eastern Carolina
1911-EKSL,1911,Eastern Kansas League,Eastern Kansas
1911-EL,1911,Eastern League,Eastern
1911-IASL,1911,Iowa State League,Iowa State
1911-IIIL,1911,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1911-ILMO,1911,Illinois-Missouri League,Illinois-Missouri
1911-KITL,1911,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1911-KSSL,1911,Kansas State League,Kansas State
1911-MICH,1911,Michigan State League,Michigan State
1911-MINK,1911,Missouri-Iowa-Nebraska-Kansas League,Missouri-Iowa-Nebraska-Kansas
1911-MNWI,1911,Minnesota-Wisconsin League,Minnesota-Wisconsin
1911-MOSL,1911,Missouri State League,Missouri State
1911-MTSS,1911,Mountain States League,Mountain States
1911-NEAR,1911,Northeast Arkansas League,Northeast Arkansas
1911-NENL,1911,New England League,New England
1911-NESL,1911,Nebraska State League,Nebraska State
1911-NL,1911,National League,National
1911-NSIN,1911,Northern State of Indiana League,Northern State of Indiana
1911-NWES,1911,Northwestern League,Northwestern
1911-NYSL,1911,New York State League,New York State
1911-OHPA,1911,Ohio-Pennsylvania League,Ohio-Pennsylvania
1911-OHSL,1911,Ohio State League,Ohio State
1911-PARC,1911,Pennsylvania Railroad Clerks,Pennsylvania Railroad Clerks
1911-PCL,1911,Pacific Coast League,Pacific Coast
1911-SALL,1911,South Atlantic League,South Atlantic
1911-SEAL,1911,Southeastern League,Southeastern
1911-SJVL,1911,San Joaquin Valley League,San Joaquin Valley
1911-SMIL,1911,Southern Michigan League,Southern Michigan
1911-SOUA,1911,Southern Association,Southern Association
1911-SWTX,1911,Southwest Texas League,Southwest Texas
1911-TIDE,1911,Tidewater League,Tidewater
1911-TL,1911,Texas League,Texas
1911-TRIS,1911,Tri-State League,Tri-State
1911-TSTA,1911,Twin States League,Twin States
1911-TXOK,1911,Texas-Oklahoma League,Texas-Oklahoma
1911-UA,1911,Union Association,Union Association
1911-VIRL,1911,Virginia League,Virginia
1911-WA,1911,Western Association,Western Association
1911-WASL,1911,Washington State League,Washington State
1911-WCAN,1911,Western Canada League,Western Canada
1911-WIIL,1911,Wisconsin-Illinois League,Wisconsin-Illinois
1911-WL,1911,Western League,Western
