league.key,league.year,league.name.full,league.name.short
1934-AA,1934,American Association,American Association
1934-AL,1934,American League,American
1934-ARSL,1934,Arkansas State League,Arkansas State
1934-BIST,1934,Bi-State League,Bi-State
1934-CAWL,1934,California Winter League,California Winter
1934-CART,1934,Carolina Textile League,Carolina Textile
1934-CENL,1934,Central League,Central
1934-COPL,1934,Coastal Plain League,Coastal Plain
1934-COL,1934,Collegiate Teams,Collegiate
1934-CUBL,1934,Cuban League,Cuban
1934-CUWL,1934,Cuban Winter League,Cuban Winter
1934-EDXL,1934,East Dixie League,East Dixie
1934-ETXL,1934,East Texas League,East Texas
1934-EVAN,1934,Evangeline League,Evangeline
1934-INDN,1934,Independent Negro,Independent Negro
1934-IL,1934,International League,International
1934-MEX,1934,Mexican League,Mexican
1934-MATL,1934,Middle Atlantic League,Middle Atlantic
1934-NL,1934,National League,National
1934-NESL,1934,Nebraska State League,Nebraska State
1934-NNL,1934,Negro National League,Negro National
1934-NSL,1934,Negro Southern League,Negro Southern
1934-NYPL,1934,New York-Pennsylvania League,New York-Pennsylvania
1934-NEAN,1934,Northeastern League,Northeastern
1934-NORL,1934,Northern League,Northern
1934-PCL,1934,Pacific Coast League,Pacific Coast
1934-PASA,1934,Pennsylvania State Association,Pennsylvania State Association
1934-PBAL,1934,Permain Basin League,Permain Basin
1934-PIED,1934,Piedmont League,Piedmont
1934-SACV,1934,Sacramento Valley League,Sacramento Valley
1934-SOUA,1934,Southern Association,Southern Association
1934-TL,1934,Texas League,Texas
1934-TONL,1934,Texas-Oklahoma Negro League,Texas-Oklahoma Negro
1934-WDXL,1934,West Dixie League,West Dixie
1934-WA,1934,Western Association,Western Association
1934-WL,1934,Western League,Western
1934-WISL,1934,Wisconsin State League,Wisconsin State
