league.key,league.year,league.name.full,league.name.short
1939-ALFL,1939,Alabama-Florida League,Alabama-Florida
1939-AA,1939,American Association,American Association
1939-AL,1939,American League,American
1939-APPY,1939,Appalachian League,Appalachian
1939-AZTX,1939,Arizona-Texas League,Arizona-Texas
1939-ARMO,1939,Arkansas-Missouri League,Arkansas-Missouri
1939-BIST,1939,Bi-State League,Bi-State
1939-CAWL,1939,California Winter League,California Winter
1939-CAML,1939,Canadian-American League,Canadian-American
1939-CBCL,1939,Cape Breton Colliery League,Cape Breton Colliery
1939-COPL,1939,Coastal Plain League,Coastal Plain
1939-COL,1939,Collegiate Teams,Collegiate
1939-CSTL,1939,Cotton States League,Cotton States
1939-CUBL,1939,Cuban League,Cuban
1939-CUWL,1939,Cuban Winter League,Cuban Winter
1939-ETXL,1939,East Texas League,East Texas
1939-EL,1939,Eastern League,Eastern
1939-ESHL,1939,Eastern Shore League,Eastern Shore
1939-EVAN,1939,Evangeline League,Evangeline
1939-FLOR,1939,Florida State League,Florida State
1939-GAFL,1939,Georgia-Florida League,Georgia-Florida
1939-IIIL,1939,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1939-INDN,1939,Independent Negro,Independent Negro
1939-IL,1939,International League,International
1939-ISLG,1939,Interstate League,Interstate
1939-JPBL,1939,Japanese Baseball League,Japanese
1939-KITL,1939,Kentucky-Illinois-Tennessee League,Kentucky-Illinois-Tennessee
1939-MEX,1939,Mexican League,Mexican
1939-MATL,1939,Middle Atlantic League,Middle Atlantic
1939-MTNS,1939,Mountain State League,Mountain State
1939-NL,1939,National League,National
1939-NAL,1939,Negro American League,Negro American
1939-NNL,1939,Negro National League,Negro National
1939-NCSL,1939,North Carolina State League,North Carolina State
1939-NEAR,1939,Northeast Arkansas League,Northeast Arkansas
1939-NORL,1939,Northern League,Northern
1939-OHSL,1939,Ohio State League,Ohio State
1939-PCL,1939,Pacific Coast League,Pacific Coast
1939-PASA,1939,Pennsylvania State Association,Pennsylvania State Association
1939-PONY,1939,Pennsylvania-Ontario-New York League,Pennsylvania-Ontario-New York
1939-PIED,1939,Piedmont League,Piedmont
1939-PION,1939,Pioneer League,Pioneer
1939-PRWL,1939,Puerto Rican Winter League,Puerto Rican Winter
1939-QUPL,1939,Quebec Provincial League,Quebec Provincial
1939-SALL,1939,South Atlantic League,South Atlantic
1939-SEAL,1939,Southeastern League,Southeastern
1939-SOUA,1939,Southern Association,Southern Association
1939-TARH,1939,Tar Heel League,Tar Heel
1939-TL,1939,Texas League,Texas
1939-VIRL,1939,Virginia League,Virginia
1939-WTNM,1939,West Texas-New Mexico League,West Texas-New Mexico
1939-WA,1939,Western Association,Western Association
1939-WINT,1939,Western International League,Western International
1939-WL,1939,Western League,Western
