league.key,league.year,league.name.full,league.name.short
1892-BHIL,1892,Black Hills League,Black Hills
1892-BLGR,1892,Blue Grass League,Blue Grass
1892-CALL,1892,California League,California
1892-CCAL,1892,Central California League,Central California
1892-CENJ,1892,Central New Jersey League,Central New Jersey
1892-CHCL,1892,Chicago City League,Chicago City
1892-COL,1892,Collegiate Teams,Collegiate
1892-CUBL,1892,Cuban League,Cuban
1892-CUWL,1892,Cuban Winter League,Cuban Winter
1892-EL,1892,Eastern League,Eastern
1892-FLOR,1892,Florida State League,Florida State
1892-ILIA,1892,Illinois-Iowa League,Illinois-Iowa
1892-IAOL,1892,Iron And Oil League,Iron And Oil
1892-KSMO,1892,Kansas-Missouri League,Kansas-Missouri
1892-MICH,1892,Michigan State League,Michigan State
1892-MTSL,1892,Montana State League,Montana State
1892-MOUN,1892,Mountain League,Mountain
1892-NL,1892,National League,National
1892-NESL,1892,Nebraska State League,Nebraska State
1892-NENL,1892,New England League,New England
1892-OHSL,1892,Ohio State League,Ohio State
1892-PNWL,1892,Pacific Northwest League,Pacific Northwest
1892-PASL,1892,Pennsylvania State League,Pennsylvania State
1892-SALL,1892,South Atlantic League,South Atlantic
1892-SOUA,1892,Southern Association,Southern Association
1892-TL,1892,Texas League,Texas
1892-WA,1892,Western Association,Western Association
1892-WL,1892,Western League,Western
1892-WIMI,1892,Wisconsin-Michigan League,Wisconsin-Michigan
