source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01787,Abernathy,William,0,Cairo,13,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20526,Abernathy,,0,Cairo,,,,,,11,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01873,Able,Robert,0,Cairo,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01836,Alexander,Robert,0,Clarksville,10,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01415,Allen,William,0,Hopkinsville,48,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20855,Allen,,0,Hopkinsville,,,,,,,,,,,48,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01538,Allsup,Jimmy,0,Union City,21,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F21957,Allsup,,0,Union City,,,,,,,,,,,,20,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10336,Allsup,,0,Union City,,20,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01706,Anderson,William,0,Cairo,28,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F21920,Anderson,,0,Cairo,,,,,,,,,,,,28,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10478,Anderson,,0,Cairo,,28,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01086,Atchley,David,0,Clarksville,36,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F21822,Atchley,,0,Clarksville,,,,,,,,,,,,32,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10432,Atchley,,0,Clarksville,,32,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B02385,Bannister,John,0,Hopkinsville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B00502,Begick,Norman,0,Madisonville,11,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F22150,Begick,,0,Madisonville,,,,,,,,,,,,10,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10527,Begick,,0,Madisonville,,10,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01300,Bentz,Howard,0,Union City,35,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F21771,Bentz,,0,Union City,,,,,,,,,,,,32,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10176,Bentz,,0,Union City,,32,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B02640,Birchfield,William,0,Mayfield,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01453,Blank,Roger,0,Mayfield,11,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F22085,Blank,,0,Mayfield,,,,,,,,,,,,11,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,P10622,Blank,,0,Mayfield,,11,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B02503,Blyzka,Mike,0,Madisonville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B00117,Boguskie,Harold,0,Hopkinsville,126,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20401,Boguskie,,0,Hopkinsville,,,,,,119,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B00264,Bomar,William,0,Clarksville,57,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B00335,Bomar,John,0,Clarksville,112,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20115,Bomar,J.,0,Clarksville,,,112,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20350,Bomar,W.,0,Clarksville,,,,56,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B02176,Boss,Harley,0,Clarksville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B01156,Boyd,Robert,0,Mayfield,13,,,,,,,,,,,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,F20807,Boyd,,0,Mayfield,,,,,,,,,,,10,,
minoraverages/1947TSN,1946,Kentucky-Illinois-Tennessee League,,B02847,Brazzell,Ralph,0,Union City,,,,,,,,,,,,,
