source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,East Texas League,frierson,F20997,Frierson,,0,Sherman,,,,,,,,56,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,B00335,Funderburk,Arnold,1,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,B00335,Funderburk,Arnold,2,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,B00335,Funderburk,Arnold,T,,92,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20620,Funderburk,,1,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20620,Funderburk,,2,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20620,Funderburk,,T,,,,,,50,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20832,Funderburk,,1,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20832,Funderburk,,2,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,funderburk,F20832,Funderburk,,T,,,,,,,,,,,,25,,
minoraverages/1947TSN,1946,East Texas League,galarity,B02266,Galarity,S.,0,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,garner,B01415,Garner,James,0,Texarkana,12,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,garner,F20962,Garner,,0,Texarkana,,,,,,,,,,,12,,
minoraverages/1947TSN,1946,East Texas League,gault,B02723,Gault,Seibert,0,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,george,B01682,George,John,0,Tyler,10,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,george,P10805,George,John,0,Tyler,,9,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,B00833,Ghiglieri,Johnny,1,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,B00833,Ghiglieri,Johnny,2,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,B00833,Ghiglieri,Johnny,T,,122,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20375,Ghiglieri,,1,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20375,Ghiglieri,,2,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20375,Ghiglieri,,T,,,,,22,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20539,Ghiglieri,,1,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20539,Ghiglieri,,2,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,ghiglieri,F20539,Ghiglieri,,T,,,,,,,100,,,,,,,
minoraverages/1947TSN,1946,East Texas League,githens,B02542,Githens,Bill,0,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,githens,P10772,Githens,William,0,Henderson,,8,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gliatto,B01453,Gliatto,Salvatore,0,Greenville,47,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gliatto,P10357,Gliatto,Salvatore,0,Greenville,,39,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graham,B00182,Graham,Aubrey,0,Jacksonville,137,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graham,F20067,Graham,,0,Jacksonville,,,12,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graham,F20190,Graham,,0,Jacksonville,,,,125,,,,,,,,,
